data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,0,1012.7208333333333,1015.6,1009.5,19.629166666666666,22.1,17.9,14563.9,22.895833333333332,25.5,21.7,82,94,68,11.4,3.725,3.5763313401803583
2009-01-02,97.4,1012.6833333333334,1015.3,1011.1,18.629166666666666,19.3,17.5,3760.3,20.041666666666668,21.8,18.9,91.58333333333333,95,82,13.8,4.645833333333333,1.589728954081389
2009-01-03,73.2,1009.75,1011.8,1007.6,16.666666666666668,18.6,14,5149.8,18.229166666666668,19.9,16.1,90.54166666666667,94,85,14.1,4.195833333333333,1.530188448787083
2009-01-04,12.799999999999999,1013.0666666666666,1015.1,1010.1,15.450000000000001,17.1,13.4,14101.800000000001,18.5875,22.1,16.3,82.66666666666667,94,59,9.1,2.775,3.2825285841877934
2009-01-05,0,1014.5791666666667,1015.8,1013.3,15.025,17.4,12.8,31448.8,19.85,23.4,16.3,74.83333333333333,91,54,8.4,2.2916666666666665,5.4911210636282775
2009-01-06,0,1012.675,1014.9,1010.8,16.120833333333334,18.2,12.7,32141.899999999998,21.445833333333333,25,17.6,72.58333333333333,87,47,10.6,3.341666666666667,6.234604753685993
2009-01-07,0,1011.2833333333333,1013.2,1009.1,19.191666666666666,21.8,17.2,31586.8,23.470833333333335,29,18,78.29166666666667,96,55,7.8,2.0875,6.134553222206222
2009-01-08,0,1012.1833333333333,1015.7,1009.4,19.175,21.2,15.8,27385.4,23.5875,30.9,18.5,77.875,95,44,7.9,1.9083333333333334,5.987677217854305
2009-01-09,8,1017.5541666666667,1020,1014.5,19.516666666666666,20.9,17.8,7306.2,21.545833333333334,24.3,19.9,88.33333333333333,94,72,9,1.5916666666666666,2.0655926850245914
2009-01-10,3.2,1017.6666666666666,1020.1,1015.3,20.333333333333332,22,19.3,7996.3,22.016666666666666,24.6,20.1,90.33333333333333,95,80,10.9,2.283333333333333,2.080660543732124
2009-01-11,5.2,1012.5708333333333,1016.6,1009.5,20.858333333333334,23.5,17.4,19971.5,23.420833333333334,29.7,20.4,86.04166666666667,95,61,14.5,2.879166666666667,4.718572010122295
2009-01-12,0,1011.6,1013.4,1009.6,19.5875,21.6,17.3,28806.5,23.354166666666668,28.2,18.6,80.54166666666667,95,58,6.8,1.575,5.546256531740919
2009-01-13,0.2,1011.3041666666667,1013.6,1008.7,20.920833333333334,22.9,19,12283.2,23.008333333333333,25.8,21,88.375,96,68,5.8,1.525,2.8852056038872127
2009-01-14,0,1007.85,1009.7,1006.3,20.5375,22.7,18.7,29312.2,24.820833333333333,31.2,20.7,78.33333333333333,96,49,8.7,2.1375,6.333263059818249
2009-01-15,6.800000000000001,1008.1583333333333,1011.1,1005.2,20.620833333333334,23,19.3,14899,23.1375,26.4,20.9,86.125,95,72,8.2,2.1125,3.314290545073454
2009-01-16,0.2,1010.1166666666667,1011.1,1009,19.8375,21.5,17.6,20955.3,22.808333333333334,27.9,18.8,84.25,97,59,7.2,1.3208333333333333,4.309970842992843
2009-01-17,0,1007.475,1009.8,1005.5,21.1625,22.6,20.3,8421.2,23.245833333333334,26.8,21.1,88.45833333333333,95,73,4.8,1.3916666666666666,2.2472777568248103
2009-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-19,40,1010.4166666666666,1014,1008.3,20.175,22.1,17.2,5506.2,21.833333333333332,23.9,18.8,90.25,94,82,18.2,3.033333333333333,1.7536259722813654
2009-01-20,11.8,1014.675,1017.6,1011.9,17.77916666666667,20.4,15.7,12079.2,20.883333333333333,23.6,18.3,82.83333333333333,95,65,11.8,3.5166666666666666,3.108769372051687
2009-01-21,0.8,1017.9166666666666,1020.4,1015.4,17.104166666666668,19.5,15.7,25126.5,20.683333333333334,25,16.5,80.83333333333333,96,61,9.4,2.2125,4.653674223796344
2009-01-22,0,1020.0833333333334,1021.4,1018.5,16.858333333333334,18.8,15,29582.3,20.995833333333334,25.9,16.2,78.79166666666667,97,54,9.1,1.9958333333333333,5.389941879166689
2009-01-23,0,1020.2791666666667,1021.9,1018.7,17.65416666666667,19.3,16.4,29817.3,21.870833333333334,26.1,17.3,78.20833333333333,96,58,11.7,2.8291666666666666,5.5106146706616155
2009-01-24,0.8,1016.175,1019.5,1013.7,18.254166666666666,20.4,15.6,25543.9,22.566666666666666,27.3,18.8,77.5,94,55,13.6,3.783333333333333,5.479684925632543
2009-01-25,5.199999999999999,1012.9416666666667,1014.6,1011.4,19.916666666666668,22.9,16.9,21032.6,23.225,29.3,18.2,82.20833333333333,94,63,9.8,2.6333333333333333,4.641860679025224
2009-01-26,1.4,1012.8291666666667,1013.9,1011.5,21.625,24.5,19.7,18704.6,24.15,29.1,21.1,86.125,93,69,8.9,2.4625,4.193809133837546
2009-01-27,0,1013.8125,1015.1,1012.3,21.479166666666668,23.8,19.2,23086.4,23.695833333333333,28.6,20,87.83333333333333,96,70,11.9,3.0208333333333335,4.689758355176953
2009-01-28,1,1011.2125,1014.5,1008.2,22.075,24.4,21,16457.600000000002,23.983333333333334,28.8,21.8,89.41666666666667,96,73,12.6,3.9791666666666665,3.8450389072608817
2009-01-29,2.2,1006.2625,1010.2,1003.7,22.3875,24.1,21.2,16053.5,24.558333333333334,29.6,21.9,88.125,95,70,6,1.6500000000000001,3.6584706810614547
2009-01-30,0.2,1003.5833333333334,1005.5,1001.5,20.295833333333334,23.7,17.3,26167,25.954166666666666,32.9,19.4,73.66666666666667,97,43,10.2,1.9791666666666667,6.058308430925929
2009-01-31,9.8,1003.8583333333333,1007.7,1002.2,20.104166666666668,22.3,16.4,14034.4,24.604166666666668,31.9,20.3,78,94,45,10.9,1.5583333333333333,3.977366681843613
2009-02-01,0.8,1010.4625,1014.3,1007.4,19.483333333333334,21.8,15.4,24992,22.375,27.6,18.2,84.45833333333333,97,64,8.9,1.9124999999999999,4.8083349271786675
2009-02-02,0,1014.1916666666667,1015.6,1012.6,19.808333333333334,21.8,18.7,15694.6,23.0625,27.4,20.8,82.45833333333333,94,65,6.6,1.7291666666666667,3.5597965307592694
2009-02-03,0,1011.7583333333333,1014.6,1009.1,20.59166666666667,22.8,18.5,17878.3,24.375,29.7,20.4,80.625,96,59,10.7,2.4583333333333335,4.330437116368504
