data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2008-01-01,0,821.7416666666667,822.9,820.7,13.266666666666667,17,8.6,19320.7,15.9625,19.8,13.4,84.66666666666667,99,67,10,3,3.520724688080479
2008-01-02,8.2,821.0791666666667,822.4,819.7,13.416666666666666,16.2,10.4,8166,14.216666666666667,17.5,12.9,95.29166666666667,100,72,14.6,4.808333333333334,2.04743107650181
2008-01-03,23.8,821.2541666666666,822.7,819.5,14.25,18.4,11.1,19443.5,15.358333333333333,22.1,12.6,93.75,100,70,17.2,7.491666666666666,3.6131707409248843
2008-01-04,19.8,821.775,823,820.3,13.554166666666667,16.6,10.8,8855.5,14.679166666666667,17.1,12.9,93.45833333333333,100,67,14,5.741666666666666,2.291112164957684
2008-01-05,7,820.9916666666667,822.8,819.6,13.0375,14.6,11.9,11995.2,13.066666666666666,14.7,11.9,100,100,100,18.5,7.145833333333333,1.214507663957122
2008-01-06,17.8,820.2166666666667,821.4,819.2,11.1625,12.4,9.9,10813.4,11.191666666666666,12.5,9.9,99.91666666666667,100,98,13.3,3.4916666666666667,1.4107469650127358
2008-01-07,0.6000000000000001,819.5916666666667,820.8,818,12.1375,15.2,9.7,25520.6,13.004166666666666,17.9,9.7,94.875,100,72,13.5,5.183333333333334,3.6086884241300234
2008-01-08,0.2,818.9,820.1,817.5,12.3625,16.4,9.4,20417.2,13.9625,19.1,11.1,90.83333333333333,100,59,16.4,5.166666666666667,3.7642166992779975
2008-01-09,0.4,818.0583333333334,819.3,816.9,12.479166666666666,16.4,8.6,22452.3,14.204166666666666,19.1,10.2,89.95833333333333,100,67,13.2,4.854166666666667,3.6501256264755355
2008-01-10,0.4,817.1875,818.6,815.7,13.845833333333333,17.1,11.3,23709.2,15.233333333333334,21.6,11.3,92.08333333333333,100,66,14.4,6.508333333333334,4.095145648803315
2008-01-11,11.4,818.2416666666667,820.7,815.5,14.845833333333333,18.6,12.3,20077.100000000002,15.954166666666666,22.7,12.4,93.625,100,61,18.3,7.208333333333333,4.192152366692056
2008-01-12,37.4,821.5583333333334,823.7,819,11.15,13.8,9.5,10906.7,11.175,13.8,9.5,99.95833333333333,100,98,19.6,6.933333333333334,1.1398335772238193
