data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2020-01-01,0.2,903.6125,905.2,901.4,19.175,21.6,17.4,18596.1,21.970833333333335,27.2,18.4,84.625,98,66,7.6,1.7625,3.9768260155646655
2020-01-02,49.8,904.825,907.4,902.8,17.841666666666665,20,14,19632.3,21.7875,26,17.7,79.5,97,54,10.2,3.0708333333333333,4.527581915020658
2020-01-03,0,908.0041666666666,910,906.6,14.179166666666667,15.9,12.2,23644.2,19.5625,25.2,14.7,72.70833333333333,94,48,9.3,3.8958333333333335,5.258917297267578
2020-01-04,40.2,906.5541666666667,908.6,903.7,15.25,18.2,12.7,22319.399999999998,18.71666666666667,25.7,13.5,81.625,97,52,14.5,4.2125,5.006482077696153
2020-01-05,0,903.5,905.1,900.8,14.816666666666666,18.4,8,26587.6,19.5,26.3,14.6,76.25,97,36,9.4,2.9625,5.846546174686381
2020-01-06,0,903.4041666666667,905,901.3,15.908333333333333,19.2,13.5,30589.4,21.558333333333334,28.5,14.1,72.58333333333333,97,42,7.8,2.783333333333333,6.397989522393136
2020-01-07,0,904.6791666666667,906.5,903.3,17.8,20.4,16.2,18965.4,22.258333333333333,26.6,19.6,76.33333333333333,91,59,6.4,1.7333333333333334,4.216427403699417
2020-01-08,0,905.6625,907.1,901.8,17.5625,20.9,13.5,30988.3,23.391666666666666,29.7,17.5,72.95833333333333,97,39,8.9,2.2875,6.631210407325522
2020-01-09,0,906.6833333333334,908.4,904.5,19.120833333333334,21.3,16.7,28230.1,24.075,30.9,18.2,75.79166666666667,97,44,9.4,2.525,6.398474254600872
2020-01-10,2.4000000000000004,906.3958333333334,908.7,903.1,20.104166666666668,22.4,18.8,21169.6,23.7125,28.3,20.6,80.95833333333333,95,61,8.8,2.466666666666667,4.753479491974864
2020-01-11,19.2,906.0125,908.4,902.8,19.3375,21.3,18,18993.2,22.15,26.4,18.9,84.66666666666667,97,68,8.1,2.2375,4.006537245484477
2020-01-12,0,908.6875,910.7,907,17.975,21.6,13.9,24103.8,23.295833333333334,29.8,18.8,74.875,98,41,8.3,2.5125,5.760097072081376
2020-01-13,0,909.925,911.7,907.4,14.9125,18.7,7,32476,22.6875,28.6,17.7,65.66666666666667,96,26,9.2,3.85,7.600403796756824
2020-01-14,0,909.1666666666666,910.9,906.3,13.275,16.4,6.7,31012.2,21.166666666666668,28.1,14.2,63.916666666666664,90,31,9.1,4.016666666666667,7.251602918127072
2020-01-15,2.4,906.8333333333334,908.7,904.6,18.35,22.2,14.3,19768,21.891666666666666,27.7,16.4,80.875,95,64,9.6,2.904166666666667,4.36984080529217
2020-01-16,31,909.3041666666667,911.7,906.8,18.816666666666666,20.8,15.7,6164.1,19.645833333333332,22.1,16.4,94.875,98,86,12.1,2.3916666666666666,1.562222084397446
2020-01-17,0.2,912.6375,914,910.7,15.079166666666667,16.8,13.4,10220.3,16.645833333333332,19.7,14.2,90.625,98,80,9.3,4.633333333333333,2.1160192374033064
2020-01-18,0,912.3791666666667,913.8,910.7,15.1625,18.8,12.8,25708.8,18.7375,25.6,14.1,80.75,93,56,10.7,4.416666666666667,5.2937704225792706
