data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2020-01-01,0.2,931.2041666666667,932.8,928.9,20.195833333333333,22.6,18.9,15779.2,23.7,27.1,21.1,81.04166666666667,93,66,8.3,2.3208333333333333,3.7555636641446073
2020-01-02,0,932.325,934.4,930,19.008333333333333,21.6,15.1,17120.1,23.291666666666668,26.8,20.8,77.66666666666667,95,60,11.8,4.408333333333333,4.402277163691717
2020-01-03,0,935.1,937.1,933.5,15.908333333333333,18.3,14.8,26327.4,22.520833333333332,27.3,18.4,67.16666666666667,81,49,10.5,4.7,6.376435243153976
2020-01-04,0,933.5666666666667,935.9,930.4,15.825,18.5,13.5,26515.7,23.295833333333334,29.5,18.1,64.125,85,41,9.9,3.1666666666666665,6.463735156092541
2020-01-05,0.2,930.3791666666667,932.5,928.1,15.704166666666666,19.1,12.6,29426.8,23.025,30,17.8,65.125,83,39,11.1,3.175,6.988778946599943
2020-01-06,0,930.35,932.2,928.5,17.075,20.5,13.7,26603.7,24.65,30.6,20.3,63.25,78,44,13.8,3.8291666666666666,6.992022199635604
2020-01-07,0,931.9916666666667,933.7,930.3,18.291666666666668,19.7,16.5,21147.9,25.125,29.8,21.2,66.79166666666667,86,47,7.5,1.9208333333333334,5.161520986766721
2020-01-08,0,932.6208333333334,934.3,930.8,18.495833333333334,20.3,15.5,26817.3,26.670833333333334,33,21.2,62.708333333333336,83,42,7.3,2.2666666666666666,6.640572018299014
2020-01-09,1.2,933.7791666666667,935.6,931.7,20.566666666666666,23.5,18.3,24947.9,26.479166666666668,32.5,22.3,70.83333333333333,85,48,10.5,3.6666666666666665,6.744998213532917
2020-01-10,19.799999999999997,933.6416666666667,935.9,930.4,21.270833333333332,23.3,19.7,13181.1,24.904166666666665,30.2,21.2,80.70833333333333,96,58,13.2,2.745833333333333,3.8871200770431433
2020-01-11,4.8,933.5916666666667,935.4,930.6,20.704166666666666,22.2,19.6,15190.7,23.9125,28.3,20.6,82.875,96,63,7.3,2.6625,3.836443647503685
2020-01-12,0,935.9666666666667,937.5,933.9,19.9625,23,15.2,24272.1,25.78333333333333,31.6,21.2,72.375,97,39,8.9,3.1125,6.365102860691608
2020-01-13,0,936.7375,939,933.6,17.820833333333333,21.4,14.1,25058.100000000002,26.05,31.9,21.5,61.583333333333336,83,40,8.5,3.175,6.770598730651503
2020-01-14,0,936.1208333333334,937.6,933.8,19.070833333333333,21.6,16.2,22732.7,24.979166666666668,29.1,21.9,70,93,58,9,3.4125,5.364997565081288
2020-01-15,4.4,933.9458333333333,935.6,931.9,20.558333333333334,24.1,18.5,14043.5,24.075,28.9,21.1,81.04166666666667,93,65,18.9,3.4583333333333335,3.887540464933742
2020-01-16,14.4,937.2291666666666,939.2,934.6,20.333333333333332,21.9,17.9,8829.2,21.683333333333334,24.6,19.1,92.08333333333333,97,79,17.7,3.575,2.2905995438065103
2020-01-17,0,939.7958333333333,941.6,938.5,17.141666666666666,20.6,14.5,25414.100000000002,20.179166666666667,25.7,15.8,83.125,93,68,10.6,4.858333333333333,4.824791433904219
2020-01-18,0,939.5083333333333,941.2,937.5,17.05,21.1,14.6,23092.3,23.270833333333332,29.6,17.4,69.04166666666667,85,51,7,2.716666666666667,5.51396940074767
2020-01-19,0,937.725,939.6,935.2,17.1875,20.7,14.6,25891,24.808333333333334,30.7,19.4,63.916666666666664,82,40,7.5,2.8,6.479503705516961
2020-01-20,0,935.1875,937.2,932.7,16.2625,20.5,11.6,24990.5,25.21666666666667,31.3,19.5,59.041666666666664,80,34,7.3,2.7291666666666665,6.610223860996463
2020-01-21,0,932.3291666666667,933.6,930.7,18.058333333333334,19.9,14.9,9070,22.820833333333333,25.4,21.2,74.79166666666667,89,53,8.6,3.1458333333333335,3.374058340349007
2020-01-22,3.4000000000000004,931.6625,933,929.7,17.27916666666667,19.4,15,9246.6,19.304166666666667,21.2,17.2,88.08333333333333,94,81,13.3,4.525,2.1942400840278347
2020-01-23,0,932.725,934.2,931.3,15.404166666666667,17.6,13.9,26394.5,20.5375,25,16.8,73.375,89,58,13.3,5.3125,5.440748394106971
2020-01-24,0,932.8125,934.4,931.2,14.216666666666667,16.1,12.5,31576.100000000002,21.59166666666667,27.2,16,64.41666666666667,86,42,10.8,4.454166666666667,6.915392503338141
2020-01-25,0,933.1041666666666,934.8,931.6,14.404166666666667,17,10.7,30873.1,23.479166666666668,29.7,17.7,58.833333333333336,80,35,8.6,3.4208333333333334,7.349109425920471
2020-01-26,0,933.9375,935.6,932.5,14.658333333333333,17.4,12.1,30304.6,24.8625,30.9,18.4,54.791666666666664,81,33,8.4,2.316666666666667,6.959016416577828
2020-01-27,0,934.525,935.9,933.2,15.404166666666667,18.2,12.3,26538.7,25.370833333333334,32.1,18.9,55.625,83,30,9.1,2.4375,6.770348911761839
2020-01-28,0,933.7041666666667,935.2,931.2,17.5,19.4,14.7,24228.7,25,32.6,19.6,64.75,86,36,13.5,3.1416666666666666,6.7556539831148
2020-01-29,54.6,934.0416666666666,937,931.6,18.65,21.5,16.3,12060,22.191666666666666,27.8,18.9,81.125,97,60,23.1,3.995833333333333,3.713114804125335
2020-01-30,12,934.55,936.5,933.1,18.320833333333333,19.9,16.8,10252.5,20.254166666666666,24.1,18.1,88.83333333333333,96,69,10.3,2.9416666666666664,2.7020559278448095
2020-01-31,0,936.125,937.7,934.4,18.45,20.4,16.9,19895.7,22.3,27.3,19.2,79.95833333333333,97,56,9.4,2.9625,4.5813634100679215
2020-02-01,0,936.7958333333333,938.7,934.6,16.858333333333334,19.3,15,27781.3,23.6625,28.5,17.2,67.70833333333333,93,45,7.8,2.6125,5.957978764581506
2020-02-02,48.2,936.6583333333333,938.9,935,18.516666666666666,22.9,15.6,13808.1,22.15,28.7,18.2,80.70833333333333,97,62,14.3,2.9166666666666665,3.6913829362763235
2020-02-03,0.4,937.4583333333334,939.5,935.4,17.725,21.1,15.5,24503.2,22.395833333333332,28.6,16.5,77.08333333333333,98,47,9.7,2.8958333333333335,5.493892734627948
2020-02-04,0,937.025,939.2,934.9,17.225,19.3,14.8,27259.5,23.704166666666666,29.9,17.9,68.125,86,48,10.6,3.6333333333333333,6.430522743714863
2020-02-05,0,936.0916666666667,937.8,933.6,18.0375,20.1,16.6,23819.2,24.683333333333334,29.8,20.1,67.25,83,51,9.2,3.325,5.907215439910809
2020-02-06,0,936.7708333333334,938.6,934.8,18.166666666666668,21,16.4,25089.7,25.258333333333333,30.4,20.2,65.91666666666667,83,47,9.5,2.9,6.122560752561541
2020-02-07,0.8,935.5541666666667,937.1,933.1,18.90416666666667,22.1,17.3,21970.2,24.2375,28.6,19.6,72.79166666666667,91,56,11,3.0625,5.113078519768081
2020-02-08,18.8,934.2125,935.9,932,19.71666666666667,21.7,18,25273.6,24.054166666666667,31,20.2,78.08333333333333,95,51,10.5,2.7916666666666665,5.866505514987273
2020-02-09,5,934.5583333333334,937.2,933.2,20.84583333333333,23.4,17.3,18683,23.495833333333334,28.5,20.1,85.5,97,67,12.5,2.9208333333333334,4.185934130187339
2020-02-10,0,937.1083333333333,939.1,935.7,16.745833333333334,19.7,15.3,26344.6,21.529166666666665,26.9,17.2,75.125,89,54,11.2,4.0625,5.659610003633272
