data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2004-01-01,0,1016.3208333333333,1018.6,1013.3,13.508333333333333,15.6,11.5,27601,21.358333333333334,24.4,18.2,61.25,72,46,14.1,3.904166666666667,3.7801740826518504
2004-01-02,0,1016.9291666666667,1018.2,1015.8,15.758333333333333,17.9,12.1,29932,21.725,25.9,16.4,69.29166666666667,85,53,8.1,2.220833333333333,2.659165761450759
2004-01-03,0,1017,1017.8,1016.1,15.829166666666667,17.6,13.8,25098,22.995833333333334,27,18.5,65,86,49,7.3,1.9916666666666667,2.736541845385384
2004-01-04,1,1016.6666666666666,1018,1015.4,15.908333333333333,18.7,13.2,29654,23.358333333333334,27.3,18.4,63.916666666666664,84,46,10.3,2.825,3.288614521604226
2004-01-05,10.4,1015.0416666666666,1016.3,1013.6,18.820833333333333,21.5,16.1,26114,23.65833333333333,27.6,20.2,75.125,90,51,11.1,2.7583333333333333,2.6813435182778935
2004-01-06,0,1013.975,1015.4,1012.3,19.05,20.5,16.5,22038,24.72083333333333,27.8,21.8,71.125,83,51,10,3.2416666666666667,2.9550752965708154
2004-01-07,0,1012.6541666666667,1014.3,1010.3,20.445833333333333,22.2,18.5,16885,24.933333333333334,28,22.3,76.375,85,61,12.1,2.5416666666666665,2.2522219229490084
2004-01-08,24,1010.5125,1012.2,1008.4,20.270833333333332,22.6,18.3,14602,24.35,28.2,20.5,78.33333333333333,90,63,7.5,1.2416666666666667,1.5656285206747205
2004-01-09,5.8,1008.8,1010,1007.3,21.375,23.3,20.4,24647,25.195833333333333,29.5,22,79.75,91,64,7,1.7208333333333334,2.127261414006112
2004-01-10,0,1007.8,1008.7,1006.5,20.55,22.6,18.3,15093,25.145833333333332,29.6,21.7,76.16666666666667,89,52,6.7,1.7916666666666667,2.033469286553516
2004-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-12,5.4,1011.2875,1013.4,1008,19.708333333333332,21.7,18.7,26645,24.375,27.4,21.9,75.41666666666667,87,64,9.9,3.85,3.0169117476524034
2004-01-13,0,1010.1125,1012.1,1008.4,18.27916666666667,19.9,16.8,23734,23.754166666666666,28.1,20.4,72.25,87,54,7.7,2.35,2.7104097774528677
2004-01-14,8.799999999999999,1006.5208333333334,1008.5,1004.4,19.1375,21.3,17.5,16773,23.554166666666667,28.5,20.7,77.20833333333333,89,55,6.5,1.6166666666666667,2.0538059196276146
2004-01-15,0,1006.9375,1009.7,1005.2,20.5625,22,19.4,22599,24.7,29,21.3,78.20833333333333,90,62,7.9,2.2875,2.336094062561584
2004-01-16,0.6,1012.0958333333333,1014.9,1008.8,19.53333333333333,21.5,17.4,21438,24.8125,28.7,21.2,72.875,88,62,8.2,2.504166666666667,2.594570227397778
2004-01-17,0.2,1015.7875,1017.4,1013.6,18.704166666666666,20.8,16.5,18660,24.191666666666666,28.5,21.5,71.875,87,51,8.6,2.1125,2.550866111716213
2004-01-18,0,1015.3583333333333,1016.7,1014,16.85,19.1,15,15130,24.204166666666666,27.6,20.9,64.08333333333333,84,53,7.4,1.8708333333333333,2.476665322396948
2004-01-19,0,1014.7291666666666,1015.8,1013.7,17.566666666666666,19.1,15.5,19012,24.03333333333333,28.2,20.7,67.66666666666667,84,53,8.4,2.1125,2.6736699354950506
2004-01-20,3.5999999999999996,1013.9291666666667,1015.5,1012.9,18.22083333333333,20.5,16.6,19314,24.416666666666668,28.2,20.8,68.66666666666667,86,52,11.6,2.3666666666666667,2.6769229079075383
2004-01-21,19,1012.4958333333333,1014.3,1010.7,19.908333333333335,21.3,18,9661,23.3875,26.1,21.7,81.20833333333333,91,68,9.9,1.9541666666666666,1.6118578693049082
2004-01-22,49.2,1011.125,1012.2,1010.2,20.658333333333335,22.1,19.6,9648,23.179166666666667,26.5,21.7,85.95833333333333,92,68,4.8,1.2833333333333334,1.2897125620420322
2004-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-24,24,1011.0583333333333,1013,1009,20.59166666666667,22.5,18.9,13905,24.4875,28.6,21.2,79.45833333333333,91,62,8.6,1.5166666666666666,1.6912285599961103
2004-01-25,18.4,1007.7666666666667,1009.9,1005.5,20.7125,22,18.5,10972,24.545833333333334,28.6,22.6,79.75,91,55,9.3,2.2041666666666666,2.0185046156550768
2004-01-26,13,1009.225,1011.2,1007.1,21.145833333333332,23,20.2,9912,24.145833333333332,26.6,22.4,83.375,90,74,5.5,1.3833333333333333,1.309951710287668
2004-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-28,1.4,NA,NA,NA,22.016666666666666,NA,NA,8638,24.78333333333333,NA,NA,84.79166666666667,NA,NA,NA,2.816666666666667,NA
2004-01-29,7.2,1011.7916666666666,1013.3,1008.9,22.5625,23.7,21.6,23370,26.3875,29.5,23.3,79.75,90,68,11.5,3.0833333333333335,2.367600440328271
2004-01-30,0,1010.9833333333333,1012.5,1008.5,21.5125,24,19,25822,26.46666666666667,30.8,22.9,74.58333333333333,87,62,10.4,2.6458333333333335,2.8236281630972426
2004-01-31,0,1012.2208333333333,1013.9,1010.4,22.1375,24.3,19.4,22867,26.529166666666665,31.1,22.3,77.25,87,59,10.3,2.3125,2.39313482963736
2004-02-01,36.8,1011.2708333333334,1012.9,1008.6,21.883333333333333,23.7,20.8,22440,26.466666666666665,32.2,23.3,76.75,92,53,11.9,2.45,2.8432080813789016
2004-02-02,0,1010.3291666666667,1012.8,1008.4,21.816666666666666,23.8,19,20801,26.9375,32,23.1,74.41666666666667,88,48,8,2.2916666666666665,2.6407177180292414
2004-02-03,0,1011.9916666666667,1013.9,1010.1,21.9625,23.2,21.1,22603,26.233333333333334,29.3,22.8,77.75,91,63,7.3,1.9083333333333334,2.0369381453756485
2004-02-04,0,1011.225,1013.4,1007.5,22.233333333333334,24.2,20.6,25255,27.470833333333335,32.1,23.5,73.625,87,54,10.6,2.8000000000000003,2.9767361716538794
2004-02-05,8.2,1010.7375,1012.2,1009.4,21.575,24.4,19.1,16101,25.8875,31.3,24,77.45833333333333,89,57,11.3,3.0375,3.026994508681099
2004-02-06,0,1012.6,1015,1010.6,17.858333333333334,20.9,14.1,26452,24.3,27.5,20.1,67.5,80,55,13.9,4.420833333333333,3.551907577945576
2004-02-07,4,1015.4833333333333,1018.3,1012.8,17.433333333333334,20.4,14.4,23281,22.6125,26.3,18.7,72.95833333333333,88,60,10.7,2.775,2.582024230777632
2004-02-08,4.4,1019.5375,1021.2,1016.7,17.77916666666667,19.9,16.4,19612,22.858333333333334,26.8,19.3,73.91666666666667,90,56,9.7,2.3583333333333334,2.3729318858395296
2004-02-09,4.8,1020.2833333333333,1022.2,1018.7,18.120833333333334,20.6,16.4,NA,23.829166666666666,27.6,19.7,71.04166666666667,87,53,7.7,2.625,NA
2004-02-10,5.199999999999999,1017.8249999999999,1019.1,1016.7,19.145833333333332,21.4,17.7,20105,23.658333333333335,27.5,19.7,76.41666666666667,89,59,6.5,1.7583333333333333,1.9953816275425034
2004-02-11,2.2,1017.3166666666666,1018.6,1016.1,19.141666666666666,22.5,16.6,27819,24.683333333333334,28.5,20.6,72.41666666666667,90,51,8.1,2.216666666666667,2.6131390083641555
2004-02-12,10.2,1018.3041666666667,1019.7,1016.9,19.754166666666666,21.5,18.7,23628,24.670833333333334,28.3,20.9,74.70833333333333,90,60,10.2,2.95,2.634061347902532
2004-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-02-14,47,1007.4583333333334,1012.6,1003.4,21.3625,22.8,20.5,5933,24.395833333333332,26.6,22.6,83.33333333333333,89,73,9.8,2.595833333333333,1.5084333310270206
2004-02-15,0,1006.0958333333333,1010.5,1001.8,19.004166666666666,21.4,15,17308,23.4625,26.4,19.6,76.41666666666667,90,65,11.5,3.466666666666667,2.2853467328884447
2004-02-16,0,1011.1458333333334,1013.5,1009.2,16.529166666666665,20.9,13.4,27639,23.5125,28.7,18.3,66.20833333333333,83,42,7,1.7583333333333333,2.765657467785462
2004-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-02-18,0.4,1012.5791666666667,1014.3,1010.6,21.629166666666666,23.3,20.4,18449,25.904166666666665,29.6,24,77.41666666666667,83,67,9.4,2.0416666666666665,2.256782014916802
2004-02-19,37,1013.1458333333334,1015.1,1011.9,18.9625,21.2,15.8,6062,22.0125,24.3,18.4,82.91666666666667,87,77,12.6,1.95,1.1466352586415798
2004-02-20,0,1014.1208333333334,1015.9,1012.9,17.3,18.7,15.3,25949,22.770833333333332,27.1,17.9,72.125,87,50,7.4,1.6500000000000001,2.282225052511982
