data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,25.400000000000002,900.15,901.9,898.2,16.8625,19.9,14.1,14326.099999999999,18.983333333333334,27.7,14.4,88.625,98,54,9.8,1.2291666666666667,3.3826390220127203
2009-01-02,23.6,898.7625,901.5,896.2,16.308333333333334,17.8,15.4,6993,17.604166666666668,20.4,16.2,92.33333333333333,97,79,8.2,1.8166666666666667,1.761074888717251
2009-01-03,17.6,894.7708333333334,897.5,893.3,15.158333333333333,18.7,11.3,16627.1,17.3625,23.4,13.4,87.45833333333333,97,61,10.6,2.2625,3.508515641226507
2009-01-04,7.6,898.7458333333334,901.5,896,12.333333333333334,14.8,10.7,10685,13.8125,17.1,12.2,90.83333333333333,96,75,6.6,1.7666666666666666,2.1142755372393336
2009-01-05,0,901.2708333333334,902.5,899.9,10.9875,13.7,7.7,15825.6,13.904166666666667,21.1,8,84.08333333333333,98,55,7.4,1.1375,3.0241760249632965
2009-01-06,0,901.5041666666667,903.3,899.9,11.925,15.2,10.1,27588.9,16.404166666666665,24.1,10.9,77.16666666666667,98,46,5.6,1.5125,4.964826065915999
2009-01-07,0.2,901.8166666666666,903.9,899.9,13.429166666666667,16.8,9,22014.3,17.90416666666667,27.9,9.8,78.58333333333333,98,32,6.3,1.1375,4.607153601327335
2009-01-08,0,902.1166666666667,903.9,900.5,13.616666666666667,17.5,10,24343.2,19.7625,29.3,10.3,72.29166666666667,98,35,7.9,1.1541666666666668,5.0161911446474825
2009-01-09,18.2,904.6958333333333,908.6,902.8,15.55,18.8,12.7,20182.1,18.516666666666666,28.2,13.3,84.5,97,47,11.7,1.5625,4.462383410966804
2009-01-10,7.8,906.0916666666667,908.1,903.1,16.495833333333334,18.2,15,6333.6,17.954166666666666,22.4,15.9,91.29166666666667,97,75,6.9,1.4875,1.7639263580241014
2009-01-11,0.2,903.2291666666666,906,900.3,16.204166666666666,20.3,13.4,23334.1,20.170833333333334,27.6,15.6,79.95833333333333,98,48,11.1,1.7791666666666668,4.935479732549959
2009-01-12,0.2,902.8541666666666,904.8,900.4,15.120833333333334,19.3,11.9,25827.7,20.154166666666665,29.1,12.5,76.91666666666667,98,38,8,1.15,5.210879286143686
2009-01-13,1.2000000000000002,902.6125,904,901.1,15.7875,18.8,13.7,11107,18.129166666666666,23.8,14.3,87.04166666666667,98,63,12.6,1.7458333333333333,2.6973717126916346
2009-01-14,0.2,899.8541666666666,901.7,897.3,16.191666666666666,19.9,11.7,25589.8,20.608333333333334,30.2,12,78.66666666666667,98,46,13.5,2.1333333333333333,5.59321849053159
