data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2007-01-01,5,1005.5666666666667,1007.7,1003.5,21.808333333333334,23.2,20.4,16020.8,24.433333333333334,29,22.4,85.70833333333333,96,66,11.7,1.2,NA
2007-01-02,2.4000000000000004,1004.2583333333333,1006,1002.2,22.320833333333333,25,21.4,12321.7,24.720833333333335,29.7,22.2,87.04166666666667,96,67,7.6,0.9666666666666667,NA
2007-01-03,5.4,1003.2625,1005.6,1000.5,22.491666666666667,24.3,21.4,9333.8,24.40833333333333,27.5,22.4,89.41666666666667,96,76,6.8,0.6125,NA
2007-01-04,0.4,999.9875,1003.4,997,22.391666666666666,23.3,21.6,8393.9,24.704166666666666,27.4,23,87.33333333333333,96,74,6.2,0.7791666666666667,NA
2007-01-05,45,996.1791666666667,998.6,992.6,22.9375,26.1,21.6,16459.5,25.275,31.4,23.1,87.58333333333333,97,61,7.2,0.39166666666666666,NA
2007-01-06,0.2,999.6416666666667,1004.1,996.9,22.958333333333332,24.8,20.6,13433,25.495833333333334,30.5,23,86.54166666666667,97,63,6.1,0.5583333333333333,NA
2007-01-07,3.2,1006.1041666666666,1008.8,1003.6,20.183333333333334,22.2,18.4,10928.2,22.45,26.7,20.5,87.45833333333333,96,64,7,0.7916666666666666,NA
2007-01-08,1,1007.025,1008.6,1005.7,19.616666666666667,20.8,17.3,15680.1,22.375,27.4,20.5,85.20833333333333,96,57,6.6,0.6833333333333333,NA
2007-01-09,2.8,1004.95,1007.5,1002.2,19.8875,22.4,16.8,18344.4,23.645833333333332,28.6,20.1,80.54166666666667,96,57,5.9,0.5458333333333333,NA
2007-01-10,4,1003.175,1005.7,999.7,22.0375,24.3,20.4,26517.9,26.066666666666666,33.4,21.5,80.16666666666667,97,50,9.3,1.2875,NA
2007-01-11,15.200000000000001,1001.2166666666667,1003.8,997.8,22.53333333333333,24.9,20.3,21427.9,26.704166666666666,33.1,22.8,79.33333333333333,96,53,7.8,0.6833333333333333,NA
2007-01-12,12.4,995.9958333333334,1000.1,992.1,22.3375,24.7,19.7,22824.6,25.979166666666668,34.6,22.1,82.45833333333333,97,44,12.1,1.4416666666666667,NA
2007-01-13,0,996.5708333333333,998.9,993.9,19.745833333333334,22.4,11.6,30170,25.041666666666668,33,19.5,75.54166666666667,97,27,9,1.1666666666666667,NA
2007-01-14,6.8,999.4458333333333,1003.8,997.6,19.720833333333335,22.2,17.5,27244.4,24.820833333333333,33.3,19.8,75.79166666666667,97,40,12.6,1.7916666666666665,NA
2007-01-15,0.2,1003.9041666666667,1006.9,1001.9,19.541666666666668,21.6,17.8,15613.3,23.129166666666666,27.2,20.5,80.66666666666667,93,64,8,1.0666666666666667,NA
2007-01-16,0,1008.2958333333333,1010.2,1006.6,17.433333333333334,19.8,13.9,17653.1,22.95,27.7,20.1,72.45833333333333,91,49,6.5,1.0958333333333332,NA
2007-01-17,1,1003.5708333333333,1008.9,999.1,20.108333333333334,21.9,18.6,19142.2,24.095833333333335,29.9,20.4,79.79166666666667,95,53,6.9,1.1041666666666667,NA
2007-01-18,2.5999999999999996,997.4541666666667,1001.2,993.3,21.420833333333334,24.6,18.9,26518.600000000002,26.795833333333334,34.5,21.8,74.875,97,42,8.3,1.6208333333333333,NA
2007-01-19,4.800000000000001,1000.7791666666667,1004.4,998.4,21.5375,24.6,19.6,23762.1,26.391666666666666,34.9,21.9,76,95,43,9.5,0.9874999999999999,NA
2007-01-20,11.6,1001.0166666666667,1004.5,997.5,22.666666666666668,25.2,20,17504.5,26.266666666666666,32.5,23.1,82.16666666666667,96,51,9.1,0.5375,NA
2007-01-21,0,1006.5791666666667,1009.7,1003.3,19.45,22.5,16.5,17959.7,23.979166666666668,28.9,19.6,76.66666666666667,96,57,7.7,1.4833333333333334,NA
2007-01-22,0,1008.4875,1010,1006.9,17.975,19.3,16.7,10321.5,22.166666666666668,24.9,19.5,77.5,94,65,5.7,0.8791666666666667,NA
2007-01-23,0,1005.8458333333333,1008.1,1003.4,19.25,20.8,17.6,16557,23.433333333333334,28.4,19.8,78.45833333333333,95,55,6.1,0.8541666666666667,NA
2007-01-24,0,1004.3833333333333,1007.3,1000.9,19.291666666666668,21.1,16.1,28568.9,25.216666666666665,33.1,19.1,72.375,96,38,8.5,0.9833333333333334,NA
2007-01-25,0,1002.8583333333333,1005.1,998.6,20.979166666666668,23.2,18.5,28220,26.97083333333333,34.3,21.9,72,95,43,8.2,0.7541666666666667,NA
2007-01-26,10.2,1002.1375,1003.9,1000.1,22.075,23.7,19.9,14037,25.629166666666666,30.8,22.5,81.83333333333333,96,56,7.1,0.7666666666666667,NA
2007-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-28,40.6,999.8208333333333,1002,997.8,23.1125,25.2,20.4,15674.2,25.7,33,21,86.75,97,55,8.6,1.0958333333333334,NA
2007-01-29,21.4,1000.1541666666667,1003.1,998.1,21.90416666666667,24.2,20.2,15227.800000000001,24.266666666666666,30.1,21.7,87.5,97,59,3.9,0.6583333333333333,NA
2007-01-30,0,1003.6375,1006.1,1001.8,20.170833333333334,22.1,16.3,26683.2,24.833333333333332,31.5,19.7,77.33333333333333,97,42,8,1.275,NA
2007-01-31,0,1004.35,1006.1,1001.7,20.416666666666668,22.1,18.6,17642.7,24.733333333333334,31.1,21.2,78.16666666666667,95,51,8,0.8041666666666667,NA
2007-02-01,0.2,1004.0583333333333,1006.5,1000.6,21.4375,24.2,19.9,16491.1,25.783333333333335,31.5,22.3,78.08333333333333,93,57,10.4,0.6041666666666666,NA
2007-02-02,0,1004.8458333333333,1006.7,1002.2,18.808333333333334,21.3,12.7,28454.1,25.5625,33.3,20.3,70.75,97,31,9.8,1.1208333333333333,NA
2007-02-03,0,1003.8416666666667,1005.9,1001.1,19.03333333333333,21.2,13.8,26760.7,24.97083333333333,33.2,19.7,72.91666666666667,97,32,8.2,1.2375,NA
2007-02-04,0,1003.5791666666667,1005.7,1000.6,19.2625,21.1,16.8,26878.6,24.695833333333333,32.1,18.5,74.5,97,41,8.3,1.35,NA
2007-02-05,4.2,1002.0458333333333,1004,998.3,20.695833333333333,22.5,18.5,19393,25.59166666666667,31.2,21.4,75.83333333333333,94,49,7.6,1.3375,NA
2007-02-06,11.6,999.7,1003.4,994.6,21.02916666666667,24.8,16.8,24572.9,24.733333333333334,34.7,20.1,82.125,97,48,18.2,1.4708333333333334,NA
2007-02-07,1.4,1002.225,1006.4,999.5,21.008333333333333,22.8,19.2,9156.3,23.241666666666667,26.1,20.4,87.5,96,74,8.8,1.9541666666666666,NA
2007-02-08,8.8,1007.5125,1010.1,1005.8,21.912499999999998,23.7,19.3,17806.3,24.458333333333332,30.9,21.3,86.875,97,55,9.9,0.9666666666666667,NA
2007-02-09,0,1008.8291666666667,1010.4,1006.8,21.4875,23.1,20.1,13193.9,24.766666666666666,29,21.4,82.66666666666667,97,63,5,0.7125,NA
2007-02-10,1.6,1005.6125,1009.3,1001.7,22.52916666666667,24.6,21,13094.5,25.404166666666665,30.6,22.2,84.91666666666667,96,61,6.3,0.6791666666666667,NA
2007-02-11,2.6,1005.3291666666667,1008.9,1003.2,20.4875,23.3,13.6,15914.5,24.620833333333334,29.4,21.1,79,97,52,7.3,1.0458333333333334,NA
2007-02-12,0,1007.8666666666667,1009.3,1006.2,16.645833333333332,18.5,13.2,23958.1,21.9125,28.8,16.4,74.29166666666667,96,39,8.3,1.3083333333333333,NA
2007-02-13,0,1006.2708333333334,1008.6,1003.9,17.7,20.1,16.4,22677.2,22.1625,27.7,17.2,77.45833333333333,95,53,7.8,1.3541666666666667,NA
2007-02-14,5.6000000000000005,1004.3666666666667,1006.1,1002.4,19.370833333333334,21.5,18.4,20617.899999999998,22.725,27.8,19,82.41666666666667,97,61,7.8,1.1083333333333334,NA
2007-02-15,0.4,1003.0291666666667,1004.9,1000.7,19.0375,20.7,14.8,25192.3,24.325,30.7,20.1,75.04166666666667,96,39,7.6,1.0833333333333333,NA
