data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,9.8,956.6625,959.3,954.2,19.041666666666668,22,16.9,18307.2,21.195833333333333,29.4,18.7,88.41666666666667,98,58,13.6,1.3708333333333333,2.161831715835235
2009-01-02,24.2,956.3125,958.9,953.7,17.875,20.1,17.2,10653.9,19.3625,23.5,17.9,91.33333333333333,97,72,7.9,1.2416666666666667,1.3103173956522398
2009-01-03,15.6,951.4416666666667,955.3,949.2,16.6625,19.2,13.9,12104.1,17.908333333333335,21.6,14.6,92.70833333333333,97,74,8.4,1.9291666666666667,1.203342622677665
2009-01-04,3,956.0458333333333,959.1,952.8,13.666666666666666,16.1,11.6,17081.7,16.4625,22.4,12.6,84.75,98,54,7.9,0.9791666666666666,1.6527738011173434
2009-01-05,0.2,958.9916666666667,960.5,957.2,13.395833333333334,15.8,11.4,36736.1,17.4125,25,11.7,79.83333333333333,99,49,8.6,1.5791666666666666,2.8845637153089774
2009-01-06,0,958.9125,960.8,956.6,13.45,17.6,10.7,36677.8,18.795833333333334,26.4,11.9,74.375,98,38,9.4,1.45,3.013901085200397
2009-01-07,0,958.5333333333333,960.7,955.6,14.379166666666666,17.8,7.4,36293,21.275,28.8,16.8,69.08333333333333,94,27,7.4,1.5625,3.5310209558490593
2009-01-08,0,958.525,960.6,955.9,16.370833333333334,18.8,12.5,37904.5,23.566666666666666,31.8,18.2,68,97,32,10.8,2.004166666666667,4.065288239626715
2009-01-09,19,962.3625,966.3,960.1,17.5625,19.6,15.7,25448.3,21.3625,29.3,17.6,80.91666666666667,97,47,9.5,1.7708333333333333,2.806969614079782
2009-01-10,20.8,963.7916666666666,966.5,960.9,18.3,20.1,16.9,9642.9,19.291666666666668,24.1,17.4,94.20833333333333,97,74,5.6,1.4708333333333332,1.269885640291536
2009-01-11,3.2,960.1083333333333,963.3,956.6,18.941666666666666,21.4,17.5,18513.9,20.983333333333334,27.7,18.6,88.66666666666667,97,59,6.7,1.1375,1.8815099112624212
2009-01-12,0.2,958.3208333333333,960.8,955.5,18.745833333333334,22.6,16,33932.5,23.129166666666666,31.4,16.3,78.70833333333333,98,48,7.3,1.4458333333333333,2.925839437006926
2009-01-13,1.6,958.1875,959.9,955.6,18.916666666666668,21,17.3,12533.6,21.445833333333333,25.3,18.4,86.08333333333333,97,66,9.2,1.1791666666666667,1.3994444177332799
2009-01-14,0.2,954.9416666666666,957.3,951.8,19.02916666666667,22.2,16.5,31765.100000000002,23.4375,32.5,16.8,79.16666666666667,98,45,8.7,1.1416666666666666,2.7733473401965814
2009-01-15,0,953.9208333333333,956.5,951.2,19.141666666666666,21.4,16.6,30898.5,24.120833333333334,31.7,18,76.41666666666667,97,42,8.6,1.6125,2.942819105572836
2009-01-16,13,956.0125,958.1,952.8,18.90416666666667,21.5,17.1,19591.1,21.704166666666666,29.5,17.9,85.16666666666667,97,58,13.2,1.375,2.1827104192867877
2009-01-17,8.4,953.9166666666666,956.8,951.7,18.929166666666667,20.6,17.4,8875,19.883333333333333,22.8,17.9,94.29166666666667,98,83,3.9,0.6958333333333333,0.9485273811945849
2009-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-19,5.8,955.1166666666667,956.5,953.3,19.808333333333334,21.5,17.1,6917,21.266666666666666,23.4,19,91.54166666666667,96,85,6,1.3875,0.9281323884777205
2009-01-20,0,957.0541666666667,960.5,955,16.866666666666667,19.9,14.4,27164.3,20.875,27.1,15.8,79.45833333333333,98,57,7.3,1.5083333333333333,2.4491757251636224
2009-01-21,0.2,961.5791666666667,964.4,959.9,14.995833333333334,18.1,12.1,29590,19.229166666666668,26.1,12.3,78.375,98,50,6.8,1.375,2.4629985823807727
2009-01-22,0,964.1875,966,962.6,13.8375,16.5,10.9,28594.399999999998,19.075,26.4,12.1,74.25,98,43,7.5,1.9291666666666667,2.8391624592078104
2009-01-23,0,964.6708333333333,966.2,962.6,14.354166666666666,15.8,12.3,35644.7,19.979166666666668,27.1,12.9,72.83333333333333,98,43,8.9,2.8,3.4893133708104016
2009-01-24,0,961.6916666666666,964.7,959.1,15.1875,17.6,12.4,28465.9,20.133333333333333,27.4,14.1,75.25,97,46,9.3,2.879166666666667,3.265302816938996
2009-01-25,0.6,959.95,961.4,958.1,17.929166666666667,21.2,15.8,17176.8,21.3375,27,18,81.625,95,61,7.1,1.7291666666666667,2.1130678531208336
2009-01-26,1,959.6666666666666,960.8,958.1,19.7625,22.7,18.8,16988.4,22.320833333333333,28.5,19.5,86,97,62,6.9,1.3833333333333333,1.9230735631597642
2009-01-27,0,959.525,961.4,956.8,19.325,21.5,17.1,25271.9,23.329166666666666,29.3,19.5,79.58333333333333,96,50,8.7,1.9041666666666668,2.634051718125965
2009-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-29,5.8,953.2416666666667,956.2,950.9,20.345833333333335,22,17.7,19996.5,22.345833333333335,29.4,19.7,89.16666666666667,97,59,11.5,0.9,1.840562171518506
2009-01-30,0.2,952.175,954.7,949.4,18.975,21.5,14.3,32121.1,24.116666666666667,31.9,19.4,77.08333333333333,98,36,10,1.4833333333333334,3.036599816757949
2009-01-31,0.2,952.1791666666667,954.4,950.7,16.620833333333334,20.4,12.1,32071.1,23.375,30.3,16.8,70.29166666666667,98,33,11.5,1.8541666666666665,3.2535245571341753
2009-02-01,0,956.2916666666666,959.6,954.4,15.845833333333333,17.9,10.3,35907.5,24.083333333333332,32.3,15.4,64.375,97,27,9.3,1.6958333333333333,3.6956369686270065
2009-02-02,0,959.725,961.6,957.3,17.220833333333335,19.1,12.6,28931.1,23.175,30.2,17.3,71.95833333333333,97,35,7.4,1.6333333333333333,2.994205670922052
2009-02-03,3.6,959.6541666666667,962.1,956.8,19.045833333333334,21.7,17.2,12538.3,21.570833333333333,25.8,19.5,85.66666666666667,93,71,5.3,1.075,1.4808056831354852
2009-02-04,5.8,956.7958333333333,959.1,955,20.245833333333334,23.4,18.7,17829.2,22.095833333333335,28.3,19.8,89.66666666666667,97,66,8.1,0.8291666666666667,1.6542945721894218
2009-02-05,0,958.1791666666667,959.8,956,18.53333333333333,20.4,16.4,21125.5,21.9875,28.2,18.2,81.83333333333333,97,56,7.8,1.5416666666666667,2.238280038172244
2009-02-06,0,957.3583333333333,959.5,954.4,19.695833333333333,22.6,13.1,25924.8,24.029166666666665,30.6,19.3,78.41666666666667,96,38,5.1,1.0125,2.3088999734339564
2009-02-07,4,957.075,958.9,954.9,20.783333333333335,23.3,11.5,27308,24.945833333333333,30.9,21.6,80.25,96,34,9.9,1.8833333333333333,2.737952963227121
2009-02-08,6,956.8875,958.9,953.7,19.8,22.5,11.1,26189,24.770833333333332,31.7,21.1,77.25,96,31,8,1.7249999999999999,2.886399574623593
2009-02-09,23.599999999999998,957.725,959.9,955.8,19.78333333333333,21.7,13,16181.2,23.416666666666668,28.8,20.4,82.375,97,41,7.6,1.0666666666666667,1.777274234644052
2009-02-10,0.2,959.25,960.9,957.1,19.845833333333335,22.1,18.1,12547.199999999999,22.066666666666666,25.7,19,87.375,96,70,5,1.275,1.358706770478598
2009-02-11,11.200000000000001,954.5833333333334,958.9,952,20.866666666666667,22.8,17.2,13362.8,22.733333333333334,28.2,20.2,89.875,97,59,12.5,1.1041666666666667,1.4831656742234627
2009-02-12,0.2,956.1666666666666,958.9,954.4,16.766666666666666,20.1,13,29838.5,21.879166666666666,29.4,18,75.45833333333333,98,41,8.8,1.5875,3.0626149319193265
2009-02-13,0,957.125,959.1,954.6,14.55,16.8,11.8,26996.1,19.541666666666668,26.2,13.9,75.125,97,47,7.3,1.2750000000000001,2.4914467244486382
2009-02-14,0,957.5791666666667,959.9,955.7,16.27916666666667,18.4,13.7,30623,21.320833333333333,27.8,15.9,75.45833333333333,97,43,9,1.5374999999999999,2.782315166704533
2009-02-15,0,957.9833333333333,959.9,955.6,17.079166666666666,19.2,15,29140.2,21.820833333333333,29.4,16.5,76.33333333333333,96,48,7.1,1.7958333333333334,2.988284571650673
2009-02-16,14.2,957.0375,959.3,955.8,19.616666666666667,22.2,17.3,13774.2,21.475,26.6,18.2,89.66666666666667,97,68,5.8,0.95,1.3878136082661425
2009-02-17,10.2,959,960.1,957.1,20.829166666666666,23,19.6,12916.9,22.741666666666667,26.3,20.5,89.41666666666667,97,73,9.4,1.125,1.3240941007849376
2009-02-18,14.6,960.0916666666667,962.2,958.2,20.3375,23.2,14.2,19176,24.1125,30.5,20.7,81.66666666666667,97,39,8.5,1.4083333333333334,2.1741975048069553
2009-02-19,0,960.8916666666667,963,958.1,18.995833333333334,21.4,11.9,29844.1,24.120833333333334,29.9,19.7,76.375,97,35,8.3,1.7208333333333334,2.821298954437268
2009-02-20,0.2,957.7083333333334,960,954.5,21.008333333333333,22.8,15,16860.100000000002,23.683333333333334,28.3,20.4,85.91666666666667,97,45,5,0.7958333333333334,1.5151968035029142
2009-02-21,24.2,956.1041666666666,958.5,952.8,20.71666666666667,23.4,14.1,16899.8,22.604166666666668,30.3,19.5,90.04166666666667,97,45,13.4,1.3708333333333333,1.9399584467600197
2009-02-22,10.2,956.75,959.2,953.8,20.4625,23.5,15.2,27694,24.15833333333333,31.2,20.1,82.16666666666667,98,45,15.6,1.075,2.3746279330419733
2009-02-23,17.6,956.3541666666666,958.6,953.6,20.15,22.9,12.3,23047.2,23.008333333333333,31.5,20.5,86.33333333333333,98,37,18.3,1.3208333333333333,2.4524866407626984
2009-02-24,6.6000000000000005,958.9375,961.6,956.6,18.295833333333334,21.1,16,7787.1,19.829166666666666,23,17.8,91.08333333333333,98,75,7.2,2.1375,1.2102335156737922
2009-02-25,0,961.8333333333334,963.2,960.2,17.4375,19.4,16.4,9590.2,19.575,22.6,17.5,87.79166666666667,97,76,6.4,1.0875,1.1924218645748854
2009-02-26,2.6,959.375,962.7,956.6,18.741666666666667,21.1,17,9161.8,20.104166666666668,24,17.5,92.08333333333333,98,79,3.8,0.7,1.0333549899405585
2009-02-27,1.2000000000000002,957.0833333333334,958.7,954.7,20.216666666666665,23.3,15.1,19448.3,22.75,28.8,19.4,87.08333333333333,98,46,7.5,0.8875,1.7422089061937112
2009-02-28,0,958.3041666666667,959.9,956.5,20.2375,22.9,18.4,18905.5,23.225,28.9,19.5,84.5,97,58,5.7,1.1541666666666666,1.8416157536848614
2009-03-01,1.7999999999999998,958.775,960.7,956.7,20.379166666666666,22.8,15.9,20484.899999999998,23.554166666666667,31.8,20.7,84.125,97,45,9.2,1.05,2.1991430529738074
2009-03-02,6.8,958.1958333333333,960,955.4,20.004166666666666,24.8,11.3,24092.1,23.908333333333335,32.8,20.4,83.08333333333333,98,28,9.2,1.1541666666666666,2.488032372764926
2009-03-03,0.2,958.7333333333333,960.6,956.9,18.841666666666665,23.2,7.2,31519.7,24.241666666666667,31.6,19.5,76.54166666666667,98,27,5.5,1.2375,2.831881262805862
2009-03-04,0,957.2458333333333,959.4,955,19.566666666666666,23.3,8.5,27713.7,25.15,31.5,21.4,74.625,96,31,6.2,1.1291666666666667,2.6275117595489927
2009-03-05,0,954.3833333333333,957.3,951.9,19.833333333333332,23.2,7.5,28372,26.2875,33.4,22,71.91666666666667,97,23,12.5,1.9375,3.372934587366728
2009-03-06,0,956.2333333333333,958.6,954.5,16.808333333333334,20.1,6.8,32236.899999999998,23.22083333333333,31.2,16.7,71.75,97,27,8.1,2.091666666666667,3.5015871256150186
2009-03-07,0,958.7875,960.8,956.6,17.816666666666666,20.3,10.6,19090.3,22.091666666666665,27.4,18.2,78.04166666666667,93,37,8.2,2.341666666666667,2.4875193026854987
2009-03-08,81.6,957.525,960.9,953.9,19.8875,22.9,17.2,12889.4,21.225,26,17.8,92.25,98,76,23.6,1.6708333333333334,1.3765034279360495
2009-03-09,0.2,957.7333333333333,959.8,956.3,17.704166666666666,21.7,10.3,24271.6,21.9,28.7,17.4,79.45833333333333,98,33,7.4,1.6791666666666667,2.545914745810193
2009-03-10,2.8000000000000003,959.8125,961.6,958.2,17.608333333333334,20.5,11.7,14478.6,21.2875,27.7,17.7,81.41666666666667,97,41,6.7,0.9083333333333333,1.7131184239815467
2009-03-11,0,958.0583333333334,960.5,955.6,19.108333333333334,20.6,16,16017,22.204166666666666,26.6,19.3,83.66666666666667,97,59,4.7,0.7458333333333333,1.532983297931582
2009-03-12,3.2,954.95,957.7,951.8,20.0875,22.1,17.4,15996.1,22.4375,28.9,19.6,87.66666666666667,98,60,13.8,0.9333333333333333,1.6662602756966571
2009-03-13,0,953.4083333333333,955.1,951.3,17.55,19.5,9.5,24696.8,22.683333333333334,29.1,18.6,76.29166666666667,98,31,8.4,1.3541666666666667,2.5296794609303888
2009-03-14,0,954.7083333333334,957.1,953.4,14.675,18.4,5.6,29510.600000000002,20.941666666666666,29.2,15.1,72.5,98,26,9.7,1.2833333333333334,2.9177050174632684
2009-03-15,4.4,957.875,960,955.8,14.941666666666666,18.8,8.7,27311.1,20.0375,30,12.2,77.75,99,29,7.6,1.0916666666666666,2.6056243995197845
2009-03-16,0.6,959.425,960.6,958,16.8375,18.3,15.1,10988.4,19.2125,23.1,16.8,86.5,96,70,7.7,1.925,1.5325032192706098
2009-03-17,5.4,960.2625,962.3,958.1,18.225,21,10.8,23407.6,21.15833333333333,28.3,18.1,84.91666666666667,97,33,7.8,0.9083333333333333,2.0946155735533365
2009-03-18,0.2,964.1374999999999,965.9,962.1,16.858333333333334,18.5,15.1,10793.1,19.4625,23.6,16.8,85.16666666666667,97,65,7,1.975,1.6050875231134718
2009-03-19,0,964.2833333333333,965.8,962.6,16.795833333333334,18.7,15.3,12795.8,19.870833333333334,24.5,16.8,83.04166666666667,95,66,8,1.0333333333333334,1.5143049948456977
2009-03-20,0,962.3375,964.2,959.8,17.933333333333334,19.3,16.5,12614.9,20.59583333333333,25.1,17.8,85.33333333333333,97,66,5.2,0.8333333333333334,1.390939894200366
2009-03-21,0,959.125,961.3,956.1,17.879166666666666,20.5,15.5,26241.8,22.033333333333335,29.3,18.5,78.91666666666667,96,45,8.9,1.2416666666666667,2.5732460173470613
2009-03-22,0,957.4083333333333,959.4,954.7,17.883333333333333,19.9,13.9,26279.4,22.883333333333333,28.6,18.3,75.58333333333333,96,47,6.8,1.4625000000000001,2.553337890124638
2009-03-23,0.6000000000000001,957.6375,959.7,954.1,17.625,20,8.5,26562.9,22.170833333333334,29.9,17.6,78.66666666666667,98,29,7.7,1.2083333333333333,2.5635691208064855
2009-03-24,3.8000000000000003,959.125,960.5,956.8,17.9,19.6,13.2,19713.899999999998,21.158333333333335,28.8,17.9,83.66666666666667,97,42,11.1,1.3291666666666666,2.23204591253543
2009-03-25,0.6000000000000001,959.6083333333333,961,958.6,17.358333333333334,19.7,13.2,12118.8,19.691666666666666,24.7,17.1,87.04166666666667,97,50,5.1,1.5166666666666666,1.5879422945519024
2009-03-26,2,958.8791666666667,960.7,956.5,16.820833333333333,19.3,12.1,18012.3,20.829166666666666,27.1,16.9,79.875,97,40,6.6,1.4583333333333333,2.127317079340204
2009-03-27,2,957.7208333333333,959.8,954.7,16.108333333333334,19.4,10.5,23555.6,20.333333333333332,27.8,15.5,80.125,98,34,5.8,0.9083333333333333,2.1639756974383677
2009-03-28,0,954.9916666666667,956.6,952.1,17.65,20.5,14.2,23072.8,21.7625,29.2,17.3,79.95833333333333,98,42,8,1.3708333333333333,2.420672328585266
2009-03-29,0.2,955.5583333333333,957.4,953.6,17.3375,20.3,13.2,22776.5,21.3625,29.9,16.4,81.29166666666667,98,40,4.9,0.8333333333333334,2.156385323594452
2009-03-30,0,956.4458333333333,958.6,954.3,18.266666666666666,20.8,12.3,17209.9,21.708333333333332,27.1,18.3,82.54166666666667,98,42,4.2,0.6708333333333334,1.626241172440592
