data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2008-01-01,15.8,925.6833333333334,927,923.5,18.154166666666665,20.5,15.5,18006.5,20.925,28.6,18.2,84.875,97,57,17.4,3.15,5.95146371473288
2008-01-02,0,925.1583333333333,926.6,923.2,17.070833333333333,20.1,15.2,30618.1,22.041666666666668,30.3,16.6,75.54166666666667,94,43,13.7,2.4166666666666665,9.216114200003611
2008-01-03,19.4,926.1166666666667,927.8,924.1,18.7125,21.3,16.4,16230.8,21.22083333333333,29.5,17.3,86.54166666666667,97,53,15.5,2.3291666666666666,5.282092941401837
2008-01-04,25,926.7541666666667,928.5,925.4,19.71666666666667,22.2,17.2,13812.5,21.045833333333334,26.1,18.7,92.54166666666667,98,65,9.2,1.2416666666666667,3.8865267225515825
2008-01-05,0,926.3708333333334,928.1,924.3,17.541666666666668,20.8,14.4,26936.9,22.03333333333333,28.2,18.1,77.79166666666667,99,46,8,1.2916666666666667,7.86498754175969
2008-01-06,1.2,925.0541666666667,926.8,922.6,15.195833333333333,18.4,10.6,30953,22.066666666666666,29.6,15.5,69.29166666666667,98,33,9.7,2.183333333333333,9.627738559933556
2008-01-07,0,924.3208333333333,926,922.2,15.5375,19.3,10.2,25634.2,22.133333333333333,29.5,16,69.25,94,32,8,2.6791666666666667,8.434317488959891
2008-01-08,0,923.4208333333333,924.9,921.5,15.116666666666667,19.1,6.5,29495.7,23.175,30.6,16.3,65.25,96,22,7.8,2.475,9.707183691327804
2008-01-09,0,922.1333333333333,923.8,919.6,13.270833333333334,18.5,1.5,31610.1,22.995833333333334,31.1,15.5,60.333333333333336,93,15,7.2,2.175,10.8556782939286
2008-01-10,0,920.8541666666666,922.2,919.2,16.85,20.5,12.4,27226.8,24.1,32.2,18.3,66.66666666666667,89,30,9.6,3.3833333333333333,9.554371240029534
2008-01-11,2,922.8708333333334,925.8,920.6,18.691666666666666,22.4,16.5,15054.4,21.6875,31.3,18.4,84.5,97,43,20.4,2.475,5.61924460796291
2008-01-12,0,926.1458333333334,927.9,924.2,18.029166666666665,19.9,16.4,17497.899999999998,21.329166666666666,25.8,18.1,82.08333333333333,98,64,8.3,2.3958333333333335,5.195644027461139
2008-01-13,0,928,929.5,926.5,16.4125,18.3,14.3,26346,21.241666666666667,26.4,17.4,74.625,90,58,11.3,4.779166666666667,7.779553046747298
2008-01-14,0,928.2958333333333,930.6,926.2,17.34583333333333,20.3,15.5,25890.1,23.079166666666666,29.4,18.5,71.04166666666667,84,46,10.2,3.1958333333333333,8.352015395089706
2008-01-15,0,926.0208333333334,928.3,923.2,16.054166666666667,18.4,14.4,28569.8,22.825,29.1,16.5,67.54166666666667,89,42,10.6,3.4458333333333333,9.051008203172472
2008-01-16,0,922.5083333333333,925.4,920.4,17.079166666666666,18.9,14.8,22312.9,23.783333333333335,30.7,18.1,68.04166666666667,91,41,10.2,3.2416666666666667,7.905763794337621
2008-01-17,3.2,921.7166666666667,923.4,919.1,19.5625,21.7,17.7,18906.9,22.954166666666666,29.2,19.5,82.54166666666667,97,54,10.1,2.0833333333333335,5.717368248381604
2008-01-18,17,921.4625,923.6,919.3,19.1375,22.3,17.7,20271.7,23.308333333333334,31.7,18.2,79.5,97,44,11.7,3.0166666666666666,6.721974915740879
2008-01-19,37.8,921.0833333333334,923.7,919.1,18.8125,20.5,16.9,5151.2,19.441666666666666,21.1,18,96.04166666666667,98,90,9.7,1.8916666666666666,1.602443956115701
2008-01-20,0.2,924.8791666666667,926.5,923.2,14.9375,17.2,13,21216.4,19.458333333333332,25.3,15,76.20833333333333,95,54,6.6,1.4958333333333333,6.5270760334618325
2008-01-21,0,926.9125,928.4,925.5,14.925,16.7,13.7,19321.4,19.575,24.6,15.9,75.41666666666667,90,58,11.8,3.8125,6.171921485678252
2008-01-22,0,928.5958333333333,930.2,927.4,13.383333333333333,15.6,11.6,26168.2,19.491666666666667,24.5,16.7,68.5,81,53,12,5.425,8.406059064348753
2008-01-23,0,929.8208333333333,931.3,928.5,13.975,16.9,12.2,19137.100000000002,18.641666666666666,24.9,13.9,75.16666666666667,91,56,13.6,4.658333333333333,6.267093989178551
2008-01-24,0,929.775,931.5,928,14.2375,16,12.4,18338.5,19.620833333333334,25,16,71.83333333333333,85,54,11.5,4.3125,6.445141487377328
2008-01-25,0,928.475,930.1,926.6,15.266666666666667,17.4,13.8,20822.5,20.616666666666667,25.2,17.7,71.83333333333333,83,57,11.1,4.533333333333333,6.962588427206247
2008-01-26,0,928.1916666666667,929.6,926.6,14.558333333333334,16.2,13.5,17272.8,19.695833333333333,23.5,17.4,72.70833333333333,85,58,11,5.116666666666666,6.03010136994363
2008-01-27,0,928.2541666666667,929.6,927,13.629166666666666,15.7,11.1,15369.6,19.166666666666668,23.3,16.1,70.66666666666667,82,57,14.2,5.395833333333333,5.764949877595187
2008-01-28,0,927.2958333333333,929.6,925.4,13.645833333333334,16.4,10.6,21379.7,19.633333333333333,24.8,15.1,69.04166666666667,82,56,15,5.208333333333333,7.129518377383821
2008-01-29,0,924.5875,927.5,922.2,15.6,17.4,14.5,17160,20.170833333333334,26.1,16.9,75.66666666666667,86,54,11.4,4.191666666666666,6.118729164192523
2008-01-30,41.199999999999996,921.225,923.9,919.2,16.4125,19.5,15,11699,19.270833333333332,24.3,16.4,84.33333333333333,98,59,9.1,2.9625,3.9897408673939863
2008-01-31,2.2,919.4,920.9,918.1,16.270833333333332,18.6,14.4,18341.2,19.079166666666666,25.1,15.2,84.83333333333333,97,60,9.1,2.6458333333333335,5.368167170877679
2008-02-01,8.8,919.0916666666667,921.1,916.8,16.2875,18.8,14.8,23988.5,21.15416666666667,27.9,16.2,75.875,97,49,14.5,2.966666666666667,7.408572732128095
2008-02-02,1.6,920.2208333333333,922.8,918.5,16.745833333333334,20.9,14.4,23404.2,19.629166666666666,26.5,14.7,84.75,99,54,13.7,2.9916666666666667,6.464368936708037
2008-02-03,0.2,924.3166666666667,927.3,922.2,16.0125,17.9,13.9,24213.2,20.316666666666666,26.8,16.4,77.95833333333333,97,49,8.3,2.879166666666667,7.318018098314284
