data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2015-01-01,12.799999999999999,903.5208333333334,905.2,901.4,18.045833333333334,21.1,16.6,13835.6,20.22083333333333,24.2,17.2,87.58333333333333,98,74,11.3,2.6333333333333333,2.9842441369927832
2015-01-02,9.8,905.1625,908.8,901.2,16.733333333333334,18.9,15.7,9433.6,19.079166666666666,21.8,17.2,86.5,97,75,14.2,3.1708333333333334,2.32084527469448
2015-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04,0,909.5333333333333,911.3,907.3,15.995833333333334,19.8,10.3,22244.1,20.441666666666666,27.7,16.2,78.58333333333333,96,37,9.3,2.6958333333333333,5.432996531428096
2015-01-05,0,910.35,911.8,908.6,16.529166666666665,18.6,14.6,20784.1,19.9125,24.8,15.9,81.54166666666667,94,61,9.8,4.3375,4.4927830555104356
2015-01-06,0,909.6125,911.6,906.7,18.345833333333335,20.2,16.9,25745.5,22.333333333333332,28.4,17.9,79.58333333333333,96,53,10.1,3.9291666666666667,5.800382800706831
2015-01-07,4.4,907.6,909.6,904.6,18.6,20.5,16.5,25456.899999999998,23.058333333333334,30.3,19,78.20833333333333,95,45,11,3.2625,6.2068526384948575
2015-01-08,18,908.1333333333333,910.4,905.2,18.5625,20.5,15.7,22413.9,22.070833333333333,29.4,18.1,82.45833333333333,97,44,15.9,2.2916666666666665,5.327727029363854
2015-01-09,4,907.4791666666666,910.3,905.2,18.316666666666666,21.1,15.6,28644.6,22.704166666666666,29.4,17.5,78.41666666666667,97,46,NA,NA,NA
2015-01-10,9,908.35,910.6,906.2,18.7375,22.1,16.9,19012.8,21.625,29.1,18.3,84.33333333333333,97,58,10.8,2.3583333333333334,4.483902040421076
2015-01-11,0.4,908.1625,910.6,905.8,18.241666666666667,20.8,15.9,26206,21.954166666666666,29.6,17.9,81.29166666666667,98,48,14.1,2.275,5.7544638623607565
2015-01-12,0,908.0333333333333,910.1,906,18.4,21.5,15.8,23587.2,23.1375,30,17.5,76.95833333333333,99,45,11,2.4208333333333334,5.537052586543775
2015-01-13,8.4,908.5125,911.1,906.1,18.616666666666667,20.8,16.2,19431.4,21.641666666666666,28.6,18.3,83.91666666666667,95,56,15,3.1041666666666665,4.757720890982515
2015-01-14,3.6,907.975,910.9,905.4,17.533333333333335,20.8,14.6,24870.600000000002,22.083333333333332,30.2,17.3,78.33333333333333,97,40,22.4,2.85,6.058406975249894
2015-01-15,3.4,909.6916666666667,911.6,907.2,17.71666666666667,19.4,16.2,20877.9,20.59583333333333,27.3,17.4,84.70833333333333,96,55,11.2,2.2083333333333335,4.604364637178419
2015-01-16,6,909.6625,911.6,906.9,17.9625,21,15.6,23686.2,22.091666666666665,29.6,17.2,80,98,45,14.6,2.8041666666666667,5.633683298106927
2015-01-17,27.6,908.0208333333334,910.1,905.8,17.929166666666667,22,13.5,17092.7,20.2,28.1,17.4,87.625,97,59,22.9,2.0625,4.004405359708711
2015-01-18,8,908.0333333333333,909.5,905.9,17.845833333333335,21,15.4,24178.1,20.6625,28.3,15.9,85.33333333333333,98,50,14.2,1.9708333333333334,5.131749650176574
2015-01-19,0,908.3833333333333,910,906.6,18.0625,19.8,16.2,27828,22.854166666666668,29.1,18,76.70833333333333,97,48,8.9,2.529166666666667,5.986504232936474
2015-01-20,15.4,907.8583333333333,909.7,906.5,18.004166666666666,20.9,16.2,13938.3,20.179166666666667,26.5,17.3,87.79166666666667,96,64,15.3,2.0375,3.3331450052968865
2015-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-23,0,910.6583333333333,912.4,908,13.529166666666667,15.9,11.7,29140.1,18.266666666666666,24.6,12.8,75.625,95,47,10,3.3583333333333334,5.604899246490582
2015-01-24,0,907.5291666666667,909.8,904.2,15.095833333333333,17.9,12.4,24998.9,20.85,27.7,15.6,72.375,94,39,7.4,2.533333333333333,5.633897790967977
2015-01-25,32.4,906.8291666666667,908.2,905.3,17.070833333333333,20.9,14.3,14270.800000000001,19.004166666666666,25.9,15.4,88.83333333333333,96,65,15.6,2.2083333333333335,3.3104208260911014
2015-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-28,9,905.7,908,903.2,18.654166666666665,21.6,17.3,19841,20.90416666666667,26.6,18.1,87.66666666666667,97,62,11.2,2.058333333333333,4.198725585345222
2015-01-29,1.6,905.0166666666667,908.4,903.6,16.7375,20.3,10.4,20832.5,20.2375,26,15.3,81.16666666666667,97,59,14.2,3.595833333333333,4.508847531517937
2015-01-30,6.2,909.6083333333333,911.9,907.2,13.941666666666666,16.9,10.3,10973.4,16.379166666666666,19.6,14,85.83333333333333,97,71,8,2.566666666666667,2.380763171079036
2015-01-31,2.6,911.2625,912.8,910.1,14.879166666666666,16.9,13.1,7811.3,16.15,19.6,14,92.25,96,79,10.3,4.5375,1.9451894248537795
2015-02-01,0.8,910.5291666666667,912.1,909.5,16.208333333333332,18.4,14.6,9275,17.72083333333333,21.1,15.4,91.125,97,79,10,3.8291666666666666,2.136845504533383
2015-02-02,0,908.7291666666666,910.4,905.8,17.0375,19.7,14.3,24095.3,21.254166666666666,28.2,17.3,78.75,96,44,11.1,3.316666666666667,5.6797855510516735
2015-02-03,9,906.5083333333333,908.9,903.3,16.9375,19.6,14.7,16090.5,19.5,25.4,16.1,85.83333333333333,96,65,12.5,3.2666666666666666,3.660277048116106
2015-02-04,0.6000000000000001,904.0083333333333,906.3,902,16.395833333333332,18.4,13.2,16228.4,18.895833333333332,24,16,86.08333333333333,96,63,9.5,3.3,3.619652057523039
2015-02-05,0,902.7375,904.3,901.1,15.329166666666667,17.8,13,20974.2,18.966666666666665,23.8,14.9,80.33333333333333,97,57,6.7,2.1375,4.117948918761195
2015-02-06,0.2,902.2833333333333,903.5,900.9,14.525,17.9,11.8,23003.2,18.3625,25.1,12.5,79.75,97,46,9.4,2.0541666666666667,4.625387644413156
2015-02-07,0.2,902.75,904.6,901.6,12.104166666666666,15.8,5.9,29112.6,18.795833333333334,25.6,12.1,70.125,98,31,8.6,2.4,5.793261503328934
2015-02-08,0,905.1541666666667,906.5,903.6,16.408333333333335,19,14.7,19707.4,20.1125,26.3,15.9,80.375,95,55,9.7,2.9833333333333334,4.451411908980061
2015-02-09,0.6,905.9208333333333,907.5,904.2,17.441666666666666,19.2,14.3,17228.1,20.870833333333334,26.8,17.6,82,97,54,8.9,2.9458333333333333,4.211258424811486
2015-02-10,0,906.425,908.4,904.9,18.1125,20.4,15.1,24465.5,23.141666666666666,28.8,19,75.41666666666667,94,44,7.8,2.8791666666666664,5.706207355356708
2015-02-11,11.799999999999999,907.2041666666667,908.6,906,19.816666666666666,21.1,17,17419.6,22.858333333333334,28.8,19.8,84.16666666666667,95,56,16,3.033333333333333,4.455498654265285
2015-02-12,8.8,907.9125,910.7,905.7,19.6,22.3,17.5,21606.600000000002,23.104166666666668,29.1,18.7,82.33333333333333,97,55,8.7,2.408333333333333,4.867430885027958
2015-02-13,10.2,909.4916666666667,910.7,907.5,17.8375,19.8,15.8,17169,20.875,26.6,17.8,83.91666666666667,97,52,9.5,2.3208333333333333,4.06741374653672
2015-02-14,16.2,909.2666666666667,910.9,907.5,17.179166666666667,19.1,14.3,17370.7,19.325,24.9,15.4,88.125,95,63,10.8,3.029166666666667,3.7740884233494847
2015-02-15,0.2,908.8291666666667,910.4,907.2,15.370833333333334,18.2,12.2,17898,18.870833333333334,25.2,15.7,81.45833333333333,96,46,8.6,2.216666666666667,4.113587770274848
2015-02-16,0,908.4333333333333,909.7,906.6,13.8125,16.4,10.4,19358.3,17.466666666666665,23.7,10.9,80.375,98,58,8.1,2.033333333333333,3.727540325658928
2015-02-17,0,907.1333333333333,909.4,904.6,15.575,17.8,14.1,18269.5,18.6125,23.6,15.2,83.08333333333333,95,62,9.1,3.958333333333333,3.887042366670186
2015-02-18,0,903.3791666666667,906.6,901,16.083333333333332,18.5,13.4,16210,19.275,24,16,82.33333333333333,94,65,8.9,3.5583333333333336,3.5860426155716536
2015-02-19,45.4,901.9958333333333,903.5,899.4,17.895833333333332,21.3,16.3,17595.6,20.504166666666666,28.1,17.5,86.33333333333333,97,53,23.7,3.029166666666667,4.408057858000815
2015-02-20,0.2,906.5,910,902.8,17.425,19.1,15.8,14741,19.983333333333334,24.2,16.3,85.83333333333333,98,68,8.7,2.075,3.0992847963364696
2015-02-21,0.2,911.5333333333333,913.5,909.8,18.533333333333335,20.1,17.1,6274.6,20.091666666666665,22.4,18.1,90.91666666666667,95,81,8.1,2.975,1.7895824725972156
2015-02-22,11.2,912.5875,915.2,910.3,17.370833333333334,19.3,15.3,12707.9,19.545833333333334,23.1,17,87.5,96,72,16.5,2.191666666666667,2.7391850698354485
2015-02-23,1.4,910.8708333333333,912.9,908.7,16.275,19.1,14.1,22322.3,19.466666666666665,27.1,15.2,82.70833333333333,95,52,15.2,2.575,4.758718206656931
2015-02-24,3.2,909.6916666666667,911.6,906.6,16.116666666666667,18.8,12.2,10172.7,18.179166666666667,23.7,15.2,88.08333333333333,97,65,12.1,1.8666666666666667,2.5078300820722843
2015-02-25,0,909.2833333333333,910.9,907.2,15.35,18.7,12.8,26838.1,20.4125,27.7,13.2,75.45833333333333,98,45,8.9,2.033333333333333,5.275145563965725
2015-02-26,3.6,907.125,910.3,903.7,17.708333333333332,20.2,15.6,19173.3,21.870833333333334,28.5,18,78.625,94,48,10.3,2.25,4.561604748524183
2015-02-27,0.2,905.4083333333333,907.7,903.1,17.283333333333335,19.6,15.2,23729.6,21.220833333333335,27.9,16.8,80.04166666666667,98,49,12.5,2.9375,5.1676818306790535
2015-02-28,0,909.1208333333334,911.4,907.3,15.291666666666666,17,13.8,21693,19.65,25.6,14.9,77.08333333333333,93,51,10.1,3.0625,4.660146475581594
2015-03-01,0,911.6208333333334,913.4,910,13.375,15.6,10.6,23513.5,17.6875,22.6,14.3,77.16666666666667,92,54,11.8,5.341666666666667,4.7250548006901125
2015-03-02,0,910.4125,912.4,908.2,14.916666666666666,16.8,13.5,21604.2,18.908333333333335,24.4,15.7,78.66666666666667,92,55,11.4,4.420833333333333,4.656520989378898
2015-03-03,0,909.4,910.9,907.3,16.4625,18,14.9,21784.3,20.633333333333333,26.1,16.9,78.45833333333333,95,52,8.8,3.470833333333333,4.781123728868693
2015-03-04,3.4,908.8666666666667,910.4,906.2,17.429166666666667,19.3,15.9,21305.6,21.245833333333334,27.1,17.3,79.91666666666667,95,55,9.8,3.4625,4.746221633548004
2015-03-05,6.8,907.6541666666667,910,905.6,18.65,20.2,17.6,12350.8,20.979166666666668,25.8,18.5,87.29166666666667,96,63,6.4,2.0708333333333333,3.0117623862663705
2015-03-06,0.2,906.925,908.4,905,17.8625,19.4,15.9,16392.5,21.041666666666668,28,18.3,83.45833333333333,97,51,8,1.7208333333333334,3.820811539612952
2015-03-07,0,907.2583333333333,908.7,904.9,16.179166666666667,18.6,14.6,21982.8,20.258333333333333,26.6,15.6,79.25,97,49,7.9,2.0708333333333333,4.501126764002214
2015-03-08,0.2,907.3416666666667,908.7,905.7,15.925,18.1,11.3,24082.7,19.729166666666668,27.3,15.1,80.95833333333333,97,39,9.1,2.1208333333333336,5.019177533831673
2015-03-09,0,906.3333333333334,908,904.7,16.058333333333334,18.2,13.6,18903.7,19.7125,26.7,15.9,80.58333333333333,96,46,15.2,2.0583333333333336,4.200843433250496
2015-03-10,4.8,904.8333333333334,906.1,903.8,15.966666666666667,19,13,12338.7,18.208333333333332,23.7,13.7,87.04166666666667,96,68,8.6,2.3541666666666665,2.731301105672138
2015-03-11,0,903.8583333333333,905.1,902.6,15.191666666666666,18,13.7,18891.6,19.066666666666666,25.5,15.9,79.08333333333333,92,50,13.8,3.7916666666666665,4.527684531650351
2015-03-12,0,904.9333333333334,906.4,903.4,12.65,16,7.5,24115.2,18.4875,25.6,12.6,71.625,95,34,6.9,2.1333333333333333,4.862091370804569
2015-03-13,0,905.9583333333334,907.6,904.6,17.15,19.3,13.1,14704.6,20.070833333333333,26,15.6,84,95,58,6.7,2.6666666666666665,3.5213798740387277
2015-03-14,40,907.2083333333334,909,905,17.579166666666666,19.3,15.7,18825.1,21.2625,27.5,17.4,80.83333333333333,97,50,NA,NA,NA
2015-03-15,1.8,907.5041666666667,909.2,905.8,17.616666666666667,20.6,16.1,17224.6,20.675,27.2,16.7,84.04166666666667,98,52,NA,NA,NA
2015-03-16,0,907.8125,909.5,905.9,16.366666666666667,18.3,13.4,23606.6,21.145833333333332,27.8,16.9,77.08333333333333,97,44,8.3,2.125,4.885467266600829
2015-03-17,0.2,909.3291666666667,910.6,907.9,14.495833333333334,17,11.8,22075.9,18.816666666666666,25.6,12.8,77.75,96,48,6.6,2.0708333333333333,4.290180535824149
2015-03-18,0,910.4291666666667,911.9,909,14.666666666666666,16.5,10.6,23096.5,19.483333333333334,25.3,16.1,75.70833333333333,93,42,9.9,3.4875,5.040274358808002
2015-03-19,0,910.9125,912.9,909.2,14.704166666666667,16.2,13,12969.8,18.183333333333334,23.1,14.9,80.875,92,58,10.1,2.933333333333333,3.16523854880421
2015-03-20,0,907.5833333333334,910,904.7,15.566666666666666,17.6,13.2,16566.8,19.4375,25.7,15.6,79.95833333333333,95,47,7.1,2.4291666666666667,3.877274752357997
2015-03-21,2.8,905.2833333333333,907.1,903.1,16.041666666666668,17.4,14,12576,18.954166666666666,24.3,16.7,84.25,97,57,8.4,2.1041666666666665,2.9703272331629527
2015-03-22,9.2,906.7333333333333,909.6,905,13.516666666666667,15.4,12.2,13805.699999999999,16.820833333333333,22.6,13.8,81.91666666666667,95,55,8.8,2.0625,3.001253104716604
2015-03-23,0,910.8208333333333,912.4,908.7,12.925,15.3,10.4,14839.8,15.629166666666666,21.1,11.4,84.625,97,63,8.6,2.9208333333333334,2.9002311009016037
2015-03-24,0,912.7583333333333,914.7,911.4,13.6125,15.9,10.9,18581,17.883333333333333,23.3,14.3,77.66666666666667,94,47,9.1,3.3041666666666667,4.059566641523917
2015-03-25,0,911.6,914.1,908.9,14.291666666666666,15.7,11.4,21741.5,18.545833333333334,25.2,14,78.125,95,44,8.8,2.8291666666666666,4.498325200763501
2015-03-26,7.4,907.8666666666667,909.8,905.7,15.3375,17.8,12.7,15846.4,18.525,26.1,14.1,83.875,98,44,12.5,1.9,3.6010549982477453
2015-03-27,4.2,909.6916666666666,911.5,907.7,16.25,17.5,15.1,5873.6,17.575,20.1,15.7,92.20833333333333,97,81,4.7,1.3875,1.4310228779359566
2015-03-28,11.4,911.1916666666667,912.6,909.8,16.329166666666666,17.2,15.4,3028.8,17.083333333333332,18.4,16.2,95.375,98,89,8.7,3.2,0.9915487016160558
2015-03-29,18.8,909.0541666666667,911.2,907.6,15.570833333333333,16.7,14.9,4221.5,16.4,18.3,15.7,94.79166666666667,97,86,NA,NA,NA
2015-03-30,14.8,905.2416666666667,907.8,903.5,15.566666666666666,18.5,13.5,12457,17.7625,23.1,15.5,87.625,96,58,13,4.579166666666667,3.30123322309523
2015-03-31,0.2,906.9708333333333,909.1,905.4,13.454166666666666,15.3,11.7,14015.4,16.829166666666666,23.3,12.1,82.04166666666667,98,51,11.3,3.558333333333333,3.4489219560040345
2015-04-01,0,909.2958333333333,911,908.1,12.2,15.1,8.9,19590.8,16.9875,24.2,10.6,76.20833333333333,98,40,6.4,1.6875,3.688695383510272
2015-04-02,0,910.425,912.5,908.6,13.5625,15.2,11,21813.100000000002,18.345833333333335,24.7,14.6,75.875,95,44,6.6,2.3625,4.220291504949124
2015-04-03,0,908.7416666666667,911.1,906.5,13.083333333333334,15.5,8.9,22245,18.275,24.2,13.2,74.45833333333333,97,40,8.1,2.45,4.259007203840683
2015-04-04,0,905.8708333333334,908.1,902.7,13.879166666666666,16.3,9.1,19594.3,18.545833333333334,25.1,14.5,76.5,94,37,8.9,2.6,4.2825056946978375
2015-04-05,23.4,902.0291666666667,905.5,898.8,14.9125,16.5,12.1,2505.7,16.070833333333333,18,13.5,92.83333333333333,97,85,14.3,3.5166666666666666,1.055660537105977
2015-04-06,0,906.1125,910.2,901.3,11.179166666666667,13.7,6.6,15464.6,15.183333333333334,20.1,11.3,77.79166666666667,92,58,13.5,3.6791666666666667,3.1013615888515336
2015-04-07,0,909.8916666666667,911.5,908.6,8.5375,10.8,5.8,22515.5,13.0375,19.5,7.9,76.125,96,43,8.4,2.841666666666667,3.6777601198867806
2015-04-08,0,911.0291666666667,913.2,909.7,10.395833333333334,12.5,8.4,19072.5,14.491666666666667,20.7,10.3,78.25,95,48,8.9,3.4541666666666666,3.604971660005813
2015-04-09,0,911.9541666666667,914.1,910.7,11.695833333333333,13.4,8.6,17555.4,16.21666666666667,22.9,12.3,77.08333333333333,96,41,9,2.3541666666666665,3.5807510834101075
2015-04-10,0,912.775,914.8,911.2,13.05,15.1,10.2,18514,17.058333333333334,23.8,12.8,79.625,97,46,5.5,1.6083333333333334,3.3692249913142733
2015-04-11,0,911.0958333333333,913.3,909.1,12.6875,15.6,5.3,19673.3,17.716666666666665,25.2,12.9,75.875,98,29,5.4,1.7708333333333333,3.901109087758134
2015-04-12,0,910.05,911.5,908.8,12.595833333333333,16.9,8.8,18982.7,17.541666666666668,25.1,11.7,75.875,95,36,7,1.5375,3.590064270087715
2015-04-13,0,910.8,912.9,909.1,14.495833333333334,15.9,13.1,16301.1,17.84583333333333,23.4,14,81.79166666666667,95,57,8.6,3.533333333333333,3.4167285680402153
2015-04-14,0.2,909.5166666666667,911.4,907.9,14.9,17.4,13.3,9545.8,17.225,22.2,15,86.625,95,67,9.6,2.9291666666666667,2.3288678650759826
2015-04-15,0.2,907.5333333333333,908.9,905.8,16.34166666666667,17.6,15.3,7647.4,18.041666666666668,21.1,16.3,89.95833333333333,96,75,6.4,2.0625,1.7725841561102633
2015-04-16,0,908.725,910.7,906.8,15.054166666666667,16.5,12.4,13766.1,18.27916666666667,24.1,14.6,82.79166666666667,97,49,11.2,2.2708333333333335,3.090643319921
2015-04-17,0.2,910.025,912,908.1,15.558333333333334,17.7,13.6,7947.7,17.116666666666667,21.1,15,90.625,97,77,11.6,4.6625,1.93543549747777
2015-04-18,7.199999999999999,907.6625,909.3,904.9,15.525,17.2,13.2,11131.1,17.625,22,13.9,88.25,97,66,NA,2.3333333333333335,2.3194403389728158
2015-04-19,0.4,907.1458333333334,908.4,905.7,15.879166666666666,18,12.7,4721.0999999999995,16.679166666666667,20.1,13.1,95.25,98,85,7.5,3.0416666666666665,1.2342036994820298
2015-04-20,15.6,905.4041666666667,907.8,903.1,17.28333333333333,19.9,15.5,3208.6,18.020833333333332,21.1,16.2,95.41666666666667,98,87,15.3,2.1,1.0338576462152438
2015-04-21,0.2,907.3333333333334,909.2,905.4,14.266666666666667,16.2,12.4,14934.7,17.608333333333334,21.2,14.5,81.70833333333333,97,61,8.9,2.7916666666666665,2.771453167751306
2015-04-22,41.8,910.125,911.6,907.9,13.308333333333334,14.6,12,3387.4,14.1375,15.3,12.9,94.75,97,90,10.6,3.075,0.9004983212648725
2015-04-23,0,911.4916666666667,912.7,910.4,13.158333333333333,14.4,11.3,7945.7,14.704166666666667,17.4,12.6,90.5,97,78,10.6,4.6125,1.6541379527585673
2015-04-24,0.2,911.0416666666666,912.1,909.8,13.079166666666667,15.4,10,12420.7,16.46666666666667,22.6,13,81.95833333333333,97,47,8.3,2.558333333333333,2.914815625425254
2015-04-25,0.2,912.5291666666667,914.3,911.3,11.070833333333333,13.6,8.4,17726.9,14.6125,21.9,9.2,80.95833333333333,96,47,5.8,2.0416666666666665,3.0481375069175356
2015-04-26,0,912.6708333333333,914.4,911.4,11.9375,13.5,11,12908.5,14.9125,20.3,12.1,83.25,95,61,8.5,3.0166666666666666,2.5375770085375784
2015-04-27,0,911.1125,913,909.2,12.066666666666666,13.8,9,13489.9,15.391666666666667,21,12.1,82.16666666666667,98,48,7.4,1.9166666666666667,2.597939814701035
2015-04-28,0,910.325,911.7,909,10.829166666666666,13.9,7.2,15363.8,15.6625,22,11.9,75.95833333333333,97,40,7.4,1.9166666666666667,2.943908654651609
2015-04-29,3.4000000000000004,911.75,913.3,910.3,10.079166666666666,13,7.9,12414.8,13.591666666666667,20.2,9.1,80.25,94,55,10.1,2.4583333333333335,2.4792182662319298
2015-04-30,0,911.6791666666667,913.7,910.3,10.004166666666666,11.2,8,4888.2,11.633333333333333,14.3,8.6,89.875,97,79,8.6,3.183333333333333,1.1785171097273557
2015-05-01,0,909.5708333333333,911.5,907.4,10.8625,13.1,8.6,12164.3,14.166666666666666,20.3,11.1,82.125,95,49,7.2,2.325,2.548431254257784
2015-05-02,0,907.0916666666667,909.4,905.1,11.708333333333334,13.2,10.1,12155,14.479166666666668,18.8,12,84.125,94,62,10,4.233333333333333,2.4989027084259035
2015-05-03,12,904.7833333333333,906.5,901.6,14.216666666666667,15.6,13.1,6282.7,15.8,18.9,14,90.54166666666667,96,76,8.1,2.7958333333333334,1.5296238535916775
2015-05-04,0.2,906.3333333333334,910.3,903.3,10.745833333333334,14.8,5.7,14307.3,14.674999999999999,19.9,9.2,78.875,96,42,9.2,2.9875,2.962667794614253
2015-05-05,0,910.8083333333333,912.2,909.7,9.3,12.3,5.6,13814.4,12.3375,19.6,6.1,83.75,98,50,9.1,2.158333333333333,2.433133343108769
2015-05-06,0,910.65,912.4,908.8,11.308333333333334,13.6,9.5,13515.5,14.983333333333333,20.9,12.2,79.875,95,50,7.3,2.720833333333333,2.742415571975812
2015-05-07,0,911.8166666666667,914.5,910,5.3125,10.8,0.2,18333,11.7875,17.8,6.3,67.5,94,32,7,2.425,2.9620029177105116
2015-05-08,0,914.0541666666667,916.1,913,7.245833333333334,9.6,4.4,8641.8,9.9375,14,6.2,83.79166666666667,94,70,9.7,3.6875,1.6115428658307764
2015-05-09,0,911.5083333333333,913.8,909.6,9.904166666666667,12,8.4,17450.2,13.829166666666667,20.2,9.5,78.75,95,50,6.7,2.4458333333333333,2.791538197458016
2015-05-10,9.6,908.2541666666667,910.5,906,10.8375,11.5,9,2629.7,11.841666666666667,13.3,11.1,93.625,97,80,11,2.7375,0.9612978247963242
2015-05-11,2.4,906.6708333333333,909,905.2,10.858333333333334,13,8.9,8380.3,12.629166666666666,17.1,11.4,89.41666666666667,97,70,13.9,3.0416666666666665,1.6845604556967644
2015-05-12,0,911.225,913.8,908.7,10.254166666666666,11.8,9,11681.8,13.620833333333334,18.4,10.2,80.875,94,60,7.5,2.6875,2.156624479499942
2015-05-13,0,914.4,916.2,913.1,9.695833333333333,11,8.5,15770.9,12.854166666666666,18.1,9.8,82.375,97,56,8.9,3.4125,2.5270864203037564
2015-05-14,0.4,914.3041666666667,915.8,912.8,11.8,13.9,10.4,6793.3,13.2125,16,11.4,91.45833333333333,97,77,8.8,3.5875,1.4017651576334695
2015-05-15,1.6,913.8625,915.5,912.3,13.079166666666666,15.4,11.4,6544.0999999999995,14.0875,17.3,12.4,93.91666666666667,97,82,9.6,4.0875,1.3337650663579235
2015-05-16,0.6000000000000001,915.2375,917,913.8,12.55,13.6,11.3,8644.5,14.745833333333334,17.9,13.2,87.29166666666667,97,68,8.8,3.7958333333333334,1.8672128611824244
2015-05-17,0,915.3125,916.8,914.2,13.070833333333333,14,12.2,4669.7,14.983333333333333,18,13.5,88.70833333333333,95,72,8,3.4375,1.5279112551806282
2015-05-18,0,915.175,916.9,913.8,13.333333333333334,14.1,11.8,10290,15.779166666666667,20.2,13.7,86.16666666666667,96,64,8.6,2.8625,2.091866900833699
2015-05-19,1.4,914.975,916.5,913.6,13.354166666666666,15.6,11.8,10831.1,15.320833333333333,19.6,13,88.33333333333333,95,66,8.7,3.183333333333333,2.093862891508901
2015-05-20,0,914.15,915.7,912.9,14.020833333333334,15.4,13,6519.3,15.833333333333334,19.8,13.9,89.41666666666667,96,73,8.9,3.8125,1.7139618606658793
2015-05-21,0.2,914.85,916.4,914,13.691666666666666,14.7,13,8316.5,15.8375,19.5,14.1,87.54166666666667,97,69,12.2,4.558333333333334,1.9864411852284878
2015-05-22,0,913.7125,915.7,912,14.1625,15.1,13.4,7098.2,16.15,19.8,14.1,88.375,96,71,9.1,3.3916666666666666,1.7513880522185346
2015-05-23,0,909.2541666666666,912.3,906.5,15.166666666666666,17,13,10953.1,17.645833333333332,23.9,13.5,86.58333333333333,98,58,9.1,2.8916666666666666,2.4937445354555066
2015-05-24,3,906.6625,908,904.6,16.370833333333334,17.6,15,3658.6,17.5875,19.1,16.3,92.625,97,85,10.1,1.9416666666666667,1.0123153684650261
2015-05-25,5.2,909.0666666666667,911.3,906.6,16.075,16.9,15,5087.5,17.175,19.4,16,93.33333333333333,97,83,6.6,2.825,1.2204932872094034
2015-05-26,17.8,910.625,912.3,907.6,14.433333333333334,15.1,13.9,2087.6,15.116666666666667,16,14.6,95.625,97,93,12.5,4.5,0.726956908283417
2015-05-27,9.8,905.8375,910.1,903.1,14.795833333333333,16.2,13.5,2739.2,15.633333333333333,17.3,14.5,94.70833333333333,97,90,11.7,4.379166666666666,0.8736518681514294
2015-05-28,2,904.8208333333333,907.4,902,10.966666666666667,13.8,8.7,8641.7,12.479166666666666,15.5,9.8,90.58333333333333,96,77,13.6,5.395833333333333,1.5186260304848482
2015-05-29,0,906.1583333333333,907.5,904.2,8.041666666666666,9.9,4.8,12639.7,11.291666666666666,16.6,8.1,81.70833333333333,96,46,8.1,2.575,2.181745134449144
2015-05-30,0.4,907.1125,909.4,905.8,6.1875,10.7,3.6,12971.3,8.441666666666666,14.9,3.7,87.29166666666667,99,56,8.9,2,1.7133736041007055
2015-05-31,0.2,910.0166666666667,912.1,908.2,7.775,10.8,3.9,6869.7,9,14.3,4.3,92.45833333333333,99,74,4.2,1.3083333333333333,1.071494378406498
2015-06-01,0.4,912.9375,914.8,911.6,6.354166666666667,11.4,-3.7,15116.5,9.866666666666667,18.5,3.5,82.95833333333333,100,21,NA,NA,NA
