data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,21.6,905.0333333333333,906.9,902.9,17.77916666666667,21,15.6,12539.2,20.466666666666665,25.9,18.1,85.08333333333333,97,62,14.5,3.2541666666666664,3.398556821505568
2009-01-02,88,903.1875,905.4,900.9,16.6375,17.8,15.7,2835.1,17.40416666666667,19.2,16.3,95.29166666666667,98,81,11.1,2.9125,1.2273047322303912
2009-01-03,21.6,900.8041666666667,903.5,898.7,14.920833333333333,17,11.9,7982.8,15.370833333333334,17.2,12.1,97.16666666666667,99,90,13.4,3.725,1.4335751586201264
2009-01-04,1,904.2833333333333,905.9,901.4,11.9875,13.4,11,9977.3,12.958333333333334,17.2,11.1,93.875,99,75,11.8,4.725,2.05956024779376
2009-01-05,0.6000000000000001,905.7708333333334,907.3,904.6,11.725,14.4,9.7,26948.8,16.529166666666665,22.7,10.7,75.08333333333333,98,50,9.4,2.529166666666667,4.8395888590468505
2009-01-06,0,905.8458333333333,907.4,904.5,11.633333333333333,13.9,9.6,29202.3,19.429166666666667,25.5,13,62.625,90,39,7.8,2.4375,5.82832307526783
2009-01-07,0,906.3833333333333,908.4,905.2,12.7875,16.2,10.4,27328,21.7125,27.3,17.4,57.666666666666664,72,40,9.2,2.754166666666667,6.309248938205628
2009-01-08,0,906.9666666666667,908.8,905.1,13.1875,17.4,9.8,22917.3,23.854166666666668,28.3,20,51.583333333333336,69,35,8.2,2.2708333333333335,5.876626845042799
2009-01-09,13.200000000000001,908.7708333333334,911.4,906.8,15.675,18.1,12.6,20293.1,21.2625,27.9,16.7,72.58333333333333,98,43,20.3,3.841666666666667,5.376462359900259
2009-01-10,74.39999999999999,910.0458333333333,912.4,906.8,16.5375,20.1,13.3,12091.8,17.9,23.3,14,92.04166666666667,99,72,17.3,3.1083333333333334,2.726711076621307
2009-01-11,27.6,907.8583333333333,911.1,905.6,16.008333333333333,19,11.9,26530.6,20.6875,26,15.3,75.70833333333333,98,53,14.1,4.079166666666667,5.456243002939243
2009-01-12,0,907.5625,909.5,905.4,16.320833333333333,20,11.8,26039.8,23.1875,28.7,18.3,68.45833333333333,96,38,10.7,3.6166666666666667,6.358181813197583
2009-01-13,51.4,907.5625,910.6,905.7,16.625,18,14.9,7439.7,18.591666666666665,24.7,15.7,89,98,58,22.8,4.541666666666667,3.0740360162234133
2009-01-14,45.2,904.9958333333333,906.9,902.6,17.59583333333333,21.1,14.9,27474.6,22.720833333333335,28.5,17.3,73.83333333333333,97,54,19.9,5.1625,6.111771926001049
2009-01-15,27.6,904.65,907.6,903.1,15.691666666666666,19,9,25258,21.683333333333334,25.6,17.3,70.08333333333333,96,41,15.9,4.375,5.8481321162181885
2009-01-16,65.8,904.3375,906.2,902.4,17.5625,19.8,14.9,8418,19.175,23.1,16.6,90.66666666666667,98,69,11.2,3.1208333333333336,2.4091279916577846
2009-01-17,5.6,902.4541666666667,904.3,900.8,16.9875,19.4,15.2,7957.5,18.433333333333334,21.6,16.5,91.375,98,79,11.8,2.3375,1.9378262961154447
2009-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-19,19.4,904.4666666666667,906.5,903.3,17.875,20.8,15.9,14770.5,19.108333333333334,23.2,16.7,92.83333333333333,98,74,11.1,2.875,3.0269699573027307
