data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2017-01-01,16.8,913.1541666666667,915.3,912,NA,NA,NA,25272.9,22.47083333333333,30.9,18.5,NA,NA,NA,NA,NA,NA
2017-01-02,0.2,914.7875,916.8,912.9,19.441666666666666,NA,NA,19079.399999999998,21.870833333333334,29,17.7,87.04166666666667,99,50,NA,NA,NA
2017-01-03,0,915.4833333333333,917.5,912.5,18.929166666666667,21.3,16.8,19485.1,21.1125,25.9,17,88.16666666666667,99,64,NA,NA,NA
2017-01-04,11.200000000000001,913.8708333333333,915.9,911.3,NA,NA,NA,21199.9,22.84166666666667,29,19.3,NA,99,64,NA,NA,NA
2017-01-05,26.400000000000002,914.2,917.1,911.5,NA,NA,NA,19538.6,21.420833333333334,30.2,19,NA,NA,NA,NA,NA,NA
2017-01-06,0.4,917.625,920,915.3,17.71666666666667,20.1,15.4,15426.8,19.620833333333334,23.5,17,89.125,99,72,NA,NA,NA
2017-01-07,0,917.4458333333333,919.7,915.5,NA,NA,NA,17091.6,19.458333333333332,24.3,15.3,NA,NA,NA,NA,NA,NA
2017-01-08,9.6,913.9958333333334,917.1,911.8,NA,NA,NA,18977.9,22.516666666666666,29.3,19,NA,NA,NA,NA,NA,NA
2017-01-09,9,911.5541666666667,914.1,909.7,NA,NA,NA,20147.3,23.075,30,18.3,NA,NA,NA,NA,NA,NA
2017-01-10,10.4,911.6,914.2,909.3,NA,NA,NA,21181.8,22.5875,30,17.7,NA,NA,NA,NA,NA,NA
2017-01-11,1.2,914.5875,917.2,912.8,19.0875,22.3,16.7,18064.5,21.166666666666668,26,17.5,88.33333333333333,99,70,NA,NA,NA
2017-01-12,0.6000000000000001,917.525,918.9,916.2,17.125,19.9,13.8,26655,19.7875,26.3,16.7,85.91666666666667,98,49,NA,NA,NA
2017-01-13,0,915.3083333333333,918.8,913,NA,NA,NA,30143.1,20.266666666666666,28.3,13.1,NA,NA,NA,NA,NA,NA
2017-01-14,2.4,912.9791666666666,915.5,911.7,NA,NA,NA,26571.8,22.554166666666667,30.9,17.1,NA,99,35,NA,NA,NA
2017-01-15,1.6,913.675,915.4,912,NA,NA,NA,30048.2,21.804166666666667,28.8,16.5,NA,99,41,NA,NA,NA
2017-01-16,0.2,912.9875,915.5,910.8,NA,NA,NA,25613.9,21.5875,27.6,16.1,NA,NA,NA,NA,NA,NA
2017-01-17,12,908.7875,913.2,906,19.204166666666666,21.4,15.8,11731.1,20.483333333333334,25.4,17.5,92.83333333333333,99,75,NA,NA,NA
2017-01-18,21.2,912.1166666666667,916.9,908.8,NA,NA,NA,25195.9,21.083333333333332,28.4,17.5,NA,99,54,NA,NA,NA
2017-01-19,0,918.3583333333333,920.8,915.8,NA,NA,NA,21575.9,19.366666666666667,25.6,15.7,NA,NA,NA,NA,NA,NA
2017-01-20,0,920.3625,921.8,919,15.058333333333334,18.3,8.8,27406.3,19.004166666666666,26,13,80.04166666666667,98,39,NA,NA,NA
2017-01-21,0,919.4375,921.1,917.8,NA,NA,NA,22837.3,19.05,26,13.6,NA,NA,NA,NA,NA,NA
2017-01-22,8.6,917.0208333333334,919.2,915.5,16.270833333333332,20,12.9,16517,18.241666666666667,26.2,13.4,89.20833333333333,99,59,NA,NA,NA
2017-01-23,2.1999999999999997,916.175,917.4,914.9,NA,NA,NA,17430.5,19.295833333333334,25.4,15,NA,NA,NA,NA,NA,NA
2017-01-24,8,914.4625,916.8,912,NA,NA,NA,26578,20.991666666666667,28.6,17.2,NA,99,56,NA,NA,NA
2017-01-25,7.3999999999999995,912.6916666666666,914.9,911,18.725,21.3,16.2,12737.2,20.4,25,17.5,90.625,99,66,NA,NA,NA
2017-01-26,46.4,914.65,917.4,911.9,NA,NA,NA,17628.7,18.791666666666668,25,14.8,NA,NA,NA,NA,NA,NA
2017-01-27,1,918.6458333333334,921.5,916.1,NA,NA,NA,16738.8,17.4875,23.4,14,NA,98,67,NA,NA,NA
2017-01-28,0.8,921.6625,923.1,919.7,15.995833333333334,NA,NA,9057.6,17.041666666666668,20.3,13.5,93.75,NA,NA,NA,NA,NA
2017-01-29,10.4,921.9541666666667,922.8,920.8,18.8125,22.2,16.6,13408.5,19.670833333333334,25.6,16.9,95,100,73,NA,NA,NA
2017-01-30,12.4,921.35,922.8,919.7,18.975,20.9,17.7,11439.6,20.120833333333334,23.5,18.4,93.33333333333333,99,75,NA,NA,NA
2017-01-31,7.2,919.8208333333333,921.9,917.7,18.179166666666667,19.2,17.2,7072.2,18.804166666666667,20.3,17.5,96.33333333333333,99,88,NA,NA,NA
