data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,1.8,915.4291666666667,917.4,913.9,18.383333333333333,21.2,15.2,18595.5,21.27916666666667,29.7,17.3,84.95833333333333,96,43,10.9,2.904166666666667,5.121848528616465
2009-01-02,32.8,914.4875,917.4,912.4,16.283333333333335,17.7,15.4,5435.1,17.1,19.2,16.1,95.04166666666667,97,87,11.8,3.2583333333333333,1.3985961628374775
2009-01-03,12,909.5041666666666,913.4,906.9,16.1125,20.4,12.4,12575.7,17.445833333333333,23.9,14,91.95833333333333,98,71,10.9,2.408333333333333,2.797645159663504
2009-01-04,1.5999999999999999,914.0625,917.1,911,11.9375,14.5,9.6,14182.1,14.495833333333334,19.1,11,85.16666666666667,95,66,11.1,3.225,2.855818306420551
2009-01-05,0.2,916.9583333333334,918.3,915.6,12.2125,14.1,9.7,13575.5,14.566666666666666,18.2,11,86.20833333333333,96,71,9.2,3.3125,2.5838098061463914
2009-01-06,0,917.1708333333333,918.4,915.6,12.833333333333334,15.7,9.7,25456.2,16.675,24.3,10,80.70833333333333,98,47,7.2,1.8833333333333333,4.74414310758548
2009-01-07,0,917.1291666666666,918.7,915.3,13.954166666666666,17,9.1,28121.5,19.425,27.9,14.4,74,97,34,7.6,1.775,5.795704883671663
2009-01-08,0,917.4791666666666,919.2,915.8,14.008333333333333,18.2,8.4,28941.2,20.925,30,13.9,70.83333333333333,98,29,8.9,2.0208333333333335,6.359625046590099
2009-01-09,7.6,920.4125,924.3,918.4,16.304166666666667,19.4,13,22295.9,20.145833333333332,28.1,15.8,81.04166666666667,97,44,13.6,3.220833333333333,5.420083851821922
2009-01-10,22.6,921.7833333333333,924.1,919.2,16.895833333333332,19.6,15.4,17602.2,19.004166666666666,25.6,16,88.375,97,62,12.4,2.7541666666666664,3.8874384408745293
2009-01-11,5,919.0166666666667,922.2,916.4,17.275,21.6,14.4,19449.4,19.633333333333333,27.2,16.5,87.29166666666667,98,55,11,2.1875,4.3394492980573824
2009-01-12,0.2,917.8416666666667,920,915.7,15.879166666666666,20,10.6,28223,21.6125,30.2,15.2,75.125,98,31,8.9,2.408333333333333,6.481289319095988
2009-01-13,2.8,917.3791666666667,918.5,916.1,18.491666666666667,21.1,15.7,17861.3,21.116666666666667,28.6,17.1,86.16666666666667,98,55,17,2.0791666666666666,4.227225844496131
2009-01-14,3.6,914.7041666666667,916.8,912.1,17.225,21.1,14,24254.8,20.904166666666665,32,14.5,82,98,41,15,2.2916666666666665,5.87600121952437
2009-01-15,1.6,914.0458333333333,915.9,912.4,17.504166666666666,19.4,15.4,25688.6,20.845833333333335,28.1,17.2,82.75,97,52,13,3.225,5.58724635396642
2009-01-16,21,914.95,916.2,912.3,17.679166666666667,20,14.8,17525.7,20.029166666666665,28.4,16.4,87.5,97,56,12.6,2.0125,4.11690557613004
2009-01-17,20.4,912.8125,915.7,910.9,17.2875,19.1,16.2,6825.4000000000005,18.125,21.9,16.7,94.91666666666667,97,81,9.7,1.925,1.7429964143224779
2009-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-19,45.2,914.0833333333334,915.7,912.3,19.008333333333333,21.3,17.5,11573.5,20.125,24.5,18.7,93.45833333333333,97,75,9.1,1.4625,2.592094769274491
2009-01-20,1.4,915.65,918.6,913.4,16.691666666666666,18.8,15,13812.6,18.816666666666666,23,16.1,87.79166666666667,97,70,9.6,2.933333333333333,3.005219142361385
2009-01-21,0,919.85,922.4,917.9,14.345833333333333,16.6,12.4,17689.4,16.875,21.9,13,85.54166666666667,97,66,9.5,3.0833333333333335,3.425248428712341
2009-01-22,5,921.9791666666666,923.4,920.6,14.070833333333333,16.1,11.9,19009.8,16.366666666666667,21.2,14.4,86.95833333333333,97,66,12.4,3.4958333333333336,3.5635738337225416
2009-01-23,0,922.3208333333333,923.6,921.1,13.745833333333334,15.1,12.5,15370,16.579166666666666,21.2,13.4,84.04166666666667,96,64,10.2,3.779166666666667,3.2631345727422745
2009-01-24,0,919.6458333333334,921.9,917.8,14.725,17.4,12.1,17094.7,17.608333333333334,23,13.6,84.20833333333333,96,60,9.1,3.0541666666666667,3.651649921067902
2009-01-25,0,918.0291666666667,919.2,916.5,17.2375,19.7,15.8,16064.2,19.483333333333334,24.9,16.4,87.45833333333333,97,66,9.1,2.841666666666667,3.523463852730392
2009-01-26,8.2,918.025,919.5,916.5,18.7,21.7,17.2,16492.600000000002,20.075,25,17.7,92.04166666666667,97,73,9.4,2.529166666666667,3.3941754077692403
2009-01-27,0.4,918.0083333333333,919.7,916.1,18.358333333333334,20.6,17.3,13820.5,20.041666666666668,25.5,18,90.20833333333333,97,70,9.2,2.9125,3.1996103012943413
2009-01-28,7.2,915.4291666666667,918,912.6,18.641666666666666,21.2,17.4,14666.800000000001,20.275,25.1,18.1,90.66666666666667,97,73,10.3,2.6708333333333334,3.1754803347673826
2009-01-29,12.8,912.8791666666667,914.7,911.5,19.583333333333332,21.3,18.4,11575.4,20.866666666666667,25.7,18.9,92.625,97,73,10.5,1.9625,2.7307817807610966
2009-01-30,0,912.5375,914.3,910.2,16.820833333333333,19.9,11.3,25548.5,22.6375,28.7,18.5,73.25,97,36,14.1,3.6791666666666667,6.32741427512448
2009-01-31,0,912.3916666666667,914.3,911,14.55,18.5,8.5,26702.600000000002,21.8375,27.8,16.8,67.16666666666667,93,31,14.5,3.5375,6.482946544502029
2009-02-01,0,915.6791666666667,918.2,913.9,14.683333333333334,17.1,10,27538.1,20.625,28.9,13.4,72.75,97,34,11,1.5166666666666666,5.604119085597043
2009-02-02,0,918.2,920.2,915.9,15.1,18.4,12,25829,19.895833333333332,29,13.2,77.04166666666667,98,37,10.1,2.7375000000000003,5.914252630235174
2009-02-03,2,918.1125,920.2,915.6,18.15,20.5,16.1,11360.9,19.9125,23.6,16.8,89.91666666666667,97,74,6.5,1.2,2.4622191660066868
2009-02-04,0.4,916.0083333333333,918,914,18.65833333333333,20.5,17,13406.4,21.129166666666666,27,18.8,86.66666666666667,97,56,9,2.558333333333333,3.5978320854238723
2009-02-05,0,917.1083333333333,918.4,915.3,17.329166666666666,19.8,15.6,16891.8,20.15,25.7,16.8,84.54166666666667,97,63,9.1,2.125,3.652628695545707
2009-02-06,0,916.6416666666667,918.3,914.6,17.679166666666667,20.8,15,24146.2,22.28333333333333,30.2,17.9,77.91666666666667,97,43,9.7,1.7291666666666667,5.353035307760073
2009-02-07,14,916.5625,918.5,914.7,19.34583333333333,22,17.8,11608.6,20.920833333333334,25.2,18.6,90.95833333333333,97,73,9.9,1.375,2.6209649678920712
2009-02-08,0,916.1708333333333,917.6,913.8,19.9,21.7,18.3,16920.8,22.683333333333334,28.8,19.6,85.5,97,54,8.3,1.7458333333333333,4.033196120060591
2009-02-09,5.4,916.6666666666666,918.5,915.3,19.5875,21.6,18.2,15673.9,21.291666666666668,29,18.6,90.66666666666667,97,58,11.6,2.2583333333333333,3.9177689532053184
2009-02-10,0.8,917.7416666666667,919.1,915.7,19.3875,22.8,18,12068.8,20.8375,25.3,18.5,91.625,97,75,8.1,2.658333333333333,2.7750987073160047
2009-02-11,6.4,914.2166666666667,917.8,911.5,19.46666666666667,23.1,17.6,14252.9,21.1875,28.3,18.1,90.5,97,62,18.2,2.3875,3.5799721742436925
2009-02-12,0.2,914.975,916.8,913.7,15.616666666666667,18.7,12.4,23317.9,19.445833333333333,26.5,15.2,80.20833333333333,97,47,11.7,2.8791666666666664,5.045129332964748
2009-02-13,0,915.5333333333333,917,913.9,13.9125,15.6,11.8,15639.6,17.045833333333334,22.2,14.2,82.70833333333333,96,62,9.9,2.8541666666666665,3.308212410718841
2009-02-14,0.2,916.0833333333334,917.8,914.9,14.975,17.9,12.6,18789.5,17.479166666666668,23.9,13,86.29166666666667,98,62,8.1,2.3875,3.685102274764405
2009-02-15,0.4,916.5375,918.2,915.3,16.479166666666668,18.3,15.2,13903.3,18.5,23.2,16,88.58333333333333,96,68,7.4,2.7583333333333333,3.039635591359357
2009-02-16,22.4,915.9208333333333,918.7,914.3,17.904166666666665,20.2,15.6,7838.3,19.2,22.6,16.3,92.41666666666667,97,80,9.1,2.004166666666667,1.8923594255271896
2009-02-17,36.4,917.8875,919.3,916.2,18.595833333333335,21,17.5,16404.2,21.058333333333334,27.4,18,87.04166666666667,97,59,9.5,2.441666666666667,3.872916827813707
