data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,0.2,860.2,861.4,859.1,14.35,16.2,12.5,22001.6,16.016666666666666,19.9,13,90.33333333333333,97,68,12.2,3.6458333333333335,1.4678177257561282
2009-01-02,10.8,858.6833333333333,860.9,857,12.891666666666666,14.4,11.9,9626.3,13.8875,16.7,12.8,94,98,80,11.6,4.445833333333334,1.127962427165902
2009-01-03,23,854.4,857.6,852.7,10.508333333333333,12.6,8.4,10268.4,11.125,13,9.1,95.95833333333333,98,90,19.6,7.066666666666666,0.634636121890122
2009-01-04,1.2000000000000002,857.8625,860.1,854.5,8.108333333333333,11,6.7,18331.3,9.925,14.2,7.5,88.83333333333333,98,66,15.2,5.679166666666666,1.5223498752006397
2009-01-05,0,859.9833333333333,861.2,858.8,6.2125,10.2,-2.3,34693.2,12.716666666666667,19.2,6.8,69.91666666666667,96,25,11.8,3.6166666666666667,2.656109971474191
2009-01-06,0,860.1791666666667,861.1,859.1,7.929166666666666,12.8,3.8,34496.1,15.679166666666667,21.9,9.4,62.583333333333336,94,33,7.3,2.1791666666666667,2.6418068206783514
2009-01-07,0,860.8,862.1,859.8,9.0625,13.1,2.7,30737.9,17.283333333333335,23.2,11.8,61.208333333333336,86,32,7.6,2.0166666666666666,2.654323605937609
2009-01-08,0,861.6875,863.3,859.9,10.329166666666667,15.2,5.5,25319.8,17.8125,24.1,13.8,64.04166666666667,88,32,11,2.466666666666667,2.8727431227327753
2009-01-09,11.799999999999999,864.4833333333333,866.7,862,11.6,14.5,8.4,17870.1,15.529166666666667,21.6,12.4,78.91666666666667,96,48,13.3,3.3125,2.295675802860789
2009-01-10,4,864.8875,867.1,863.4,12.920833333333334,16,11.5,11220.8,15.145833333333334,17.7,13.2,86.79166666666667,96,73,10.8,3.4625,1.3103916622809697
2009-01-11,51.199999999999996,861.9333333333333,864.3,859.4,14.141666666666666,16.9,11.8,21477.6,16.570833333333333,22.5,13.4,86.5,98,61,13,3.591666666666667,2.0712178092369635
2009-01-12,0.2,861.7791666666667,863,860.4,13.866666666666667,17,10.8,29435.5,18.183333333333334,24.3,13.1,77.5,97,49,11,3.0083333333333333,2.426195391924949
2009-01-13,1,861.0166666666667,862.7,858.6,14.6875,17.3,11.8,10116.7,16.870833333333334,21.2,13.8,87.08333333333333,97,66,13.9,2.6958333333333333,1.3867668585334603
2009-01-14,0.2,858.7416666666667,860.4,857,14.754166666666666,17.9,12.8,18312.8,17.866666666666667,23.4,13.7,83.04166666666667,98,57,13.5,3.1208333333333336,1.9390428034552718
2009-01-15,0,857.9875,859.4,856.2,14.8625,16.6,11,24641.9,18.225,24,14,82.66666666666667,97,46,10.8,3.4375,2.2070941832642315
2009-01-16,11,858.9125,859.9,857.7,14.016666666666666,16.3,12.5,21073.7,16.791666666666668,23.1,13,84.70833333333333,97,58,9.7,2.4208333333333334,1.8900162816963297
2009-01-17,9.2,856.8666666666667,858.5,855.2,13.354166666666666,15.6,10.9,9494.6,16.35,20.3,14.4,82.91666666666667,97,71,9.6,2.5875,1.5749310601379545
2009-01-18,0.4,857.6625,859.4,855.2,14.420833333333333,17,12.5,23122.4,17.59166666666667,23.9,12.8,83.875,98,53,7.7,2.3291666666666666,1.8747117775476587
