data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,2.2,936.7291666666666,938.5,934.7,19.454166666666666,22.3,13.2,18085.4,23.608333333333334,31.4,20.2,79.33333333333333,97,43,8.8,2.654166666666667,5.146914172279904
2009-01-02,29.8,935.1,937,933.3,18.566666666666666,19.7,17.7,3028.2,18.975,20.2,18,97.41666666666667,98,94,8.8,2.425,0.9366538883426262
2009-01-03,3.8000000000000003,934.0541666666667,937.6,931.1,15.870833333333334,18.3,13,7461.1,16.816666666666666,18.6,14,94.20833333333333,99,80,14.8,4.420833333333333,1.7484129982812018
2009-01-04,0,937.6958333333333,939.3,935.2,12.079166666666666,13.7,10.9,18947.6,15.7875,20.8,12.1,79.54166666666667,97,60,10.9,4.404166666666667,3.722640030985485
2009-01-05,0,938.1208333333334,940,936.4,12.570833333333333,15.5,11.2,31441,19.02916666666667,26.1,12.5,68.375,96,42,9.6,2.5625,6.013391302927604
2009-01-06,0,937.6291666666667,939.5,936.3,13.333333333333334,17,10.6,30074.6,22.7625,28.4,17.1,57.25,79,34,8.5,2.1791666666666667,6.532833878257135
2009-01-07,0,937.9375,940.1,936.4,13.604166666666666,17.6,10.7,26936.2,25.316666666666666,32,20.2,49.25,65,30,8.2,1.9791666666666667,6.748532864015577
2009-01-08,0,938.4041666666667,940.4,936.5,14.325,20.1,11.6,30204.6,27.075,33.1,19.2,47.291666666666664,80,29,8.4,2.225,7.358787576226264
2009-01-09,10,940.6458333333334,944.5,938.8,17.929166666666667,21.5,15.5,13907.6,21.275,32,17.9,83.125,96,40,14.9,2.7958333333333334,4.840402486419
2009-01-10,27,941.4375,943.9,938.6,18.408333333333335,22.1,17.1,19132.4,20.75,29.3,17.9,87.33333333333333,98,58,12.2,3.8375,4.802240668703547
2009-01-11,0,939.3666666666667,941.8,937,17.329166666666666,21.6,15.2,27514.2,23.670833333333334,29.5,18.6,68.875,93,48,9,3.2041666666666666,6.238862695700559
2009-01-12,0,938.8,940.8,936.2,17.4375,23.3,11.9,25396.5,26.475,33.2,20.2,61.125,89,29,8,1.9041666666666668,6.411246080010986
2009-01-13,27.6,939.0666666666667,942.4,936.8,17.7125,19.1,15.8,3895.4,20.029166666666665,27.4,18.1,87.83333333333333,98,50,16.7,4.266666666666667,3.2204888754282024
2009-01-14,6.199999999999999,936.2125,938.1,933.5,19.7375,25.6,15.7,28637.7,26.1625,35.8,20.3,68.66666666666667,93,52,16.9,4.3875,7.618907234112426
2009-01-15,3.2,936.0583333333334,938.5,934.8,19.0125,21.4,17.2,26625.4,24.083333333333332,29.9,19,74.5,97,53,15.9,3.3583333333333334,5.978670682633041
2009-01-16,0.6000000000000001,935.7875,937.6,934.3,18.945833333333333,21.1,15,14728.4,22.220833333333335,26.6,19.3,82.33333333333333,96,51,10.8,2.575,3.928851075326774
2009-01-17,0,934.1875,935.8,932.7,19.15,21.5,17.7,14434.8,21.883333333333333,27.8,18.8,84.91666666666667,97,63,7.8,1.9208333333333334,3.479281406917882
2009-01-18,33.6,935.5208333333334,937.3,933.8,19.016666666666666,21.9,17.3,20768.3,23.675,31.6,19.2,76.91666666666667,97,49,16.2,2.75,5.364401173551224
2009-01-19,1,936.9916666666667,939.9,935.3,18.9,21.6,15.5,14719.3,20.704166666666666,27,18.1,90,98,71,11.3,2.7375,3.3572134918330496
2009-01-20,0,939.6333333333333,940.8,938.4,15.016666666666667,17.2,13.6,20128.7,18.479166666666668,23.2,14.3,80.91666666666667,98,66,9.6,3.783333333333333,3.849614913765576
2009-01-21,0,940.075,941.4,938.5,17.120833333333334,21.9,14.2,27851.8,21.6125,29.6,14.7,76.79166666666667,97,59,9.5,2.8791666666666664,5.660135029850379
2009-01-22,0,941.6458333333334,943.6,940.4,15.820833333333333,18.8,13,31488,23.141666666666666,30,17.6,65.5,91,41,7.3,2.345833333333333,6.707338699974786
2009-01-23,0,941.4583333333334,943.7,939.5,15.3875,18.7,13.7,30113,22.375,29.2,15.8,66.08333333333333,90,44,7.8,2.966666666666667,6.50669235891955
2009-01-24,0,938.8,940.9,936.3,15.6625,18.4,14,30365.2,23.241666666666667,30.9,16.1,63.958333333333336,89,42,8.3,2.8875,6.845241730374737
2009-01-25,0,937.4541666666667,939.7,935.3,17.379166666666666,21.5,15.8,28013.4,25.579166666666666,31.9,20.4,61.458333333333336,76,45,12.4,2.8125,6.8856429688283916
2009-01-26,8.2,938.0125,939.6,936.1,19.0625,22.5,15.8,18273,23.983333333333334,30.6,20.4,74.54166666666667,90,53,8.6,2.225,4.700074233963389
2009-01-27,0,937.8958333333334,940.1,935.1,20.1375,24.4,17.9,20917.7,25.475,34.4,19.6,73.41666666666667,97,53,8.5,2.2708333333333335,5.38302391372384
2009-01-28,14.399999999999999,936.0958333333333,937.5,933.6,19.679166666666667,21.9,18.6,19542.7,23.525,30.9,19.8,80.5,98,52,10.5,2.6791666666666667,4.964503255858409
2009-01-29,0.2,934.5291666666667,936.1,933.4,18.866666666666667,22,16.3,24365.9,23.041666666666668,29.6,18.6,79.16666666666667,98,51,11.6,3.8875,5.779511996158429
2009-01-30,0,934.25,936.3,932.3,16.6,19.7,11.9,26544,24.075,30.3,19.8,65.29166666666667,89,35,14.1,5.083333333333333,7.475841334528281
2009-01-31,0,935.125,937.1,933.5,14.954166666666666,18.9,12.3,27252.6,25,35,19.4,55.791666666666664,77,35,15,4.458333333333333,8.504002414426527
2009-02-01,0,937.7916666666666,939.6,936.1,14.85,19,7,30256.1,25.795833333333334,32.8,19.1,53.75,83,22,6,1.7625,6.974535875012904
2009-02-02,10.6,937.75,939.2,935.8,16.991666666666667,22.2,12.7,13561.7,23.370833333333334,34.5,19,69.41666666666667,97,43,14,2.95,5.005793192813297
2009-02-03,6.2,937.7625,939.9,935.5,19.233333333333334,22.7,15.3,17560.8,23.766666666666666,30.5,20.3,76.41666666666667,96,60,13.1,4.254166666666666,4.782030263008977
