data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,0,904.4875,906.1,903.1,14.808333333333334,17.2,12.3,23199.5,19.2625,26.4,15.9,77.33333333333333,97,45,11,3.125,5.272622444562766
2009-01-02,6.6,903.375,905.4,901.4,13.970833333333333,15.9,13.1,8153.1,16.1,19.5,13.7,87.5,96,72,10.9,3.8125,2.1775115381655947
2009-01-03,42.2,899.8541666666666,902.4,897,12.229166666666666,13.8,10.5,9557.6,13.1875,15.4,11.2,93.95833333333333,98,78,17.6,4.1375,1.849131927642981
2009-01-04,2.2,903.7708333333334,905.8,900.8,10.279166666666667,13,8.5,11522.8,12.204166666666667,17.3,9.7,88.54166666666667,98,69,9.7,3.1333333333333333,2.3328037628609395
2009-01-05,0,904.8833333333333,906.3,903.2,6.775,11.9,-1.8,32709.5,15.375,23.7,8,64,95,20,8.9,3.4458333333333333,6.59921258176209
2009-01-06,0,904.4958333333333,905.9,903.2,9.7625,13.1,4.7,31291.2,17.929166666666667,25.5,11.1,64,95,30,9.5,3.1125,6.418900980763135
2009-01-07,0,904.825,906.4,903.3,10.637500000000001,15.2,6.2,30283.5,19.620833333333334,27.2,12,61.375,98,27,9.4,3.2875,6.739577598254919
2009-01-08,0,905.525,908.5,903.8,12.820833333333333,16.2,7.9,23572.3,19.2875,27.9,13,70.125,95,30,12.2,3.7083333333333335,6.263144362240817
2009-01-09,24.6,908.775,911.3,906.3,14.383333333333333,16.9,12.9,11782.199999999999,16.204166666666666,20.7,13.6,89.54166666666667,98,69,13.5,3.408333333333333,2.651350291373748
2009-01-10,1.2,909.0083333333333,911.6,906.8,15.420833333333334,17.7,13.8,12965.2,17.6375,23.1,14.7,87.45833333333333,97,64,11.4,4.520833333333333,3.2820616944879815
2009-01-11,0.6000000000000001,905.8958333333334,908.2,903.6,15.595833333333333,20,13,23838.2,19.716666666666665,26.9,15.3,79.08333333333333,96,45,11.8,4.05,5.6414981585076625
2009-01-12,0.2,905.475,906.9,903.9,15.208333333333334,19,11.3,28141.3,20.666666666666668,28.3,12.8,74.29166666666667,98,37,11.4,3.566666666666667,6.450411169285409
2009-01-13,0,904.6625,906.2,901.7,15.916666666666666,18.4,13.6,11654.8,18.8375,24.6,14.9,83.875,96,57,14.9,4.6375,3.629706037628031
2009-01-14,0,902.4833333333333,904.4,900.1,16.25,19.6,14,18572.7,20.5625,27.5,15.3,78.20833333333333,98,48,12.3,3.0208333333333335,4.681031447821186
2009-01-15,0,901.8833333333333,903.6,900.3,16.1625,18.9,13.3,22654.8,20.5125,26.5,16.3,78.125,97,47,10.4,3.3541666666666665,5.202814176794799
2009-01-16,7,902.8541666666666,903.8,901.1,15.6875,18.2,13.1,13588.6,17.754166666666666,25.7,14.3,88.66666666666667,98,59,18.6,2.8833333333333333,3.4855811294695602
2009-01-17,6.4,900.8291666666667,902.8,898.7,15.825,17.6,14.5,16102,18.6375,23.9,15,84.91666666666667,98,59,7.7,2.591666666666667,3.590368858366992
2009-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-19,2.4,903.1,906.2,901.4,15.466666666666667,18.4,10.6,11355.300000000001,17.166666666666668,23.6,12,90.08333333333333,97,68,11.8,2.3583333333333334,2.6938590040747727
2009-01-20,1.2000000000000002,905.9,907.9,904.3,13.441666666666666,17.3,11.4,20462.2,15.925,22.1,12.6,86.04166666666667,98,63,9.4,2.8041666666666667,3.809441612676948
2009-01-21,0.2,907.8458333333333,909.7,906,11.258333333333333,15.7,8.3,29162.8,16.28333333333333,24.4,8.9,74.70833333333333,97,43,10.3,3.55,5.618321520430448
2009-01-22,0,909.625,911.1,908.1,10.375,14.6,5.4,32628.4,16.983333333333334,26,10.2,69.70833333333333,94,29,10.3,3.966666666666667,6.912657845159319
2009-01-23,0,909.8791666666666,911.5,908.1,10.658333333333333,13,8.2,32448.5,17.379166666666666,26,9.2,68.125,95,36,10.8,4.395833333333333,6.701042844416403
